Country,Vehicle,Quintile,Sex,Data need,Data point name,Units,Year,Data source,Value,CI,SE,Notes
Ethiopia,Salt,All (assumed same),All (assumed same),"Vehicle ""fortifiability"" (essentially amount industrially produced)",percentage,%,,Assumption,1,,,"""Almost all households in Ethiopia have access to iodized salt."" ~ National Food and Nutrition Strategy Baseline Survey"
Ethiopia,Salt,Total,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.1,,,"2022 National Nutrition Survey; Total population (?), not U5 specifically"
Ethiopia,Salt,Lowest,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.1,,,
Ethiopia,Salt,Second,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.2,,,
Ethiopia,Salt,Middle,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.7,,,
Ethiopia,Salt,Fourth,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.2,,,
Ethiopia,Salt,Highest,All (assumed same),Vehicle consumption by U5 children -- amount,mean,g/day,,EPHI data sent by Andy Garcia,6.5,,,
Ethiopia,Salt,All (assumed same),All (assumed same),Vehicle consumption by U5 children -- amount,standard deviation,g/day,,Survey in Addis Ababa,2.2,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10195378/; among all adults
Ethiopia,Salt,All (assumed same),All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,,0.97,,,"Total population (?), not U5 specifically"
Ethiopia,Salt,Total,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.1,,,"2022 National Nutrition Survey; Total population (?), not WRA specifically"
Ethiopia,Salt,Lowest,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.1,,,
Ethiopia,Salt,Second,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.2,,,
Ethiopia,Salt,Middle,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.7,,,
Ethiopia,Salt,Fourth,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,7.2,,,
Ethiopia,Salt,Highest,Female,Vehicle consumption by WRA -- amount,mean,g/day,,EPHI data sent by Andy Garcia,6.5,,,
Ethiopia,Salt,All (assumed same),Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,,Survey in Addis Ababa,2.2,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10195378/; among all adults
Ethiopia,Salt,All (assumed same),Female,Vehicle consumption by WRA -- any,percentage,%,,EPHI data sent by Andy Garcia,0.97,,,"Total population (?), not WRA specifically; Not stratified by wealth quintile"
India,Rice,Total,All (assumed same),"Vehicle ""fortifiability"" (essentially amount industrially produced)",percentage,%,2024,"Laura Key (BCG), ""India_Bangladesh_data"" (note in ""Vehicles - preschool!Q48"" of ""20260416_Input data to IHME models.xlsx""",0.45,,,"51.3% ""Industry consolidation"" sent by Jonathan Gorstein in a spreadsheet on 7/19/2024 according to M4N Database, but on 8/15/2024 we agreed to consider all open-market rice unfortifiable; in 2025 or 26 Laura Key (Boston Consulting Group) put 45% in the ""Vehicles - preschool"" sheet entry for India Rice Industry consolidation"
