sex,age_start,age_end,wealth_quintile,value
Female,0,5,1,0.7302991029086303
Female,0,5,2,0.727898921894038
Female,0,5,3,0.8077394316900247
Female,0,5,4,0.8724439914845717
Female,0,5,5,0.9059086164758614
Female,5,15,1,0.6978203067323498
Female,5,15,2,0.7180346261262571
Female,5,15,3,0.8195735943510855
Female,5,15,4,0.8677872850881161
Female,5,15,5,0.9146880372942
Female,15,30,1,0.6806745131611429
Female,15,30,2,0.7123740208585514
Female,15,30,3,0.8232133522797294
Female,15,30,4,0.8689516664295567
Female,15,30,5,0.9123950527332476
Female,30,50,1,0.6807519207773859
Female,30,50,2,0.7168453457954682
Female,30,50,3,0.8468831136519738
Female,30,50,4,0.8829074782365142
Female,30,50,5,0.9199287825274821
Female,50,125,1,0.6594564263707952
Female,50,125,2,0.7050988944084376
Female,50,125,3,0.8414741006403702
Female,50,125,4,0.8630447274458988
Female,50,125,5,0.9209487470206078
Male,0,5,1,0.7305316274789406
Male,0,5,2,0.7164869575293212
Male,0,5,3,0.8124532562964389
Male,0,5,4,0.8711842652089729
Male,0,5,5,0.9159037491355384
Male,5,15,1,0.6927728431229093
Male,5,15,2,0.7213919024884701
Male,5,15,3,0.814594949842931
Male,5,15,4,0.8671974534525392
Male,5,15,5,0.9138203021537037
Male,15,30,1,0.6604782552372603
Male,15,30,2,0.7340878465081928
Male,15,30,3,0.8194107996125882
Male,15,30,4,0.8606744079807077
Male,15,30,5,0.9045448794347409
Male,30,50,1,0.6916789694696245
Male,30,50,2,0.734946474886302
Male,30,50,3,0.8476850043907797
Male,30,50,4,0.8831561143134098
Male,30,50,5,0.9170332935216724
Male,50,125,1,0.6423901652009275
Male,50,125,2,0.6910299635898818
Male,50,125,3,0.8206879125239236
Male,50,125,4,0.8558913579199368
Male,50,125,5,0.9189111641797705
