sex,age_start,age_end,wealth_quintile,value
Female,0,5,1,0.477078919135382
Female,0,5,2,0.47417985553362424
Female,0,5,3,0.4435861029858111
Female,0,5,4,0.4227205187278593
Female,0,5,5,0.25856137633497245
Female,5,15,1,0.5764277737933673
Female,5,15,2,0.5585951159636198
Female,5,15,3,0.516912580136219
Female,5,15,4,0.475646061650577
Female,5,15,5,0.2738006939379641
Female,15,30,1,0.5091809037915678
Female,15,30,2,0.5024276536440171
Female,15,30,3,0.4696387992024266
Female,15,30,4,0.4372684594782389
Female,15,30,5,0.2625868795449335
Female,30,50,1,0.5360960886519675
Female,30,50,2,0.5245131807828853
Female,30,50,3,0.4825098479476843
Female,30,50,4,0.4358866239185888
Female,30,50,5,0.22677186566843713
Female,50,125,1,0.56022080244928
Female,50,125,2,0.5456723541514182
Female,50,125,3,0.49140482001924757
Female,50,125,4,0.42361929890317557
Female,50,125,5,0.20910751552611329
Male,0,5,1,0.4726805329415712
Male,0,5,2,0.4860468227792296
Male,0,5,3,0.44341405653219385
Male,0,5,4,0.4296680609256267
Male,0,5,5,0.2515455493161002
Male,5,15,1,0.5769150923534276
Male,5,15,2,0.5607281358114589
Male,5,15,3,0.5094547543598189
Male,5,15,4,0.4695066353531554
Male,5,15,5,0.2544005691884786
Male,15,30,1,0.5327367590780879
Male,15,30,2,0.4943956376911452
Male,15,30,3,0.4830192384011813
Male,15,30,4,0.4579347273003342
Male,15,30,5,0.26763992641796225
Male,30,50,1,0.5241511445853346
Male,30,50,2,0.49754856930366836
Male,30,50,3,0.4631064011870255
Male,30,50,4,0.429081814178906
Male,30,50,5,0.2282121131523501
Male,50,125,1,0.5549745257476011
Male,50,125,2,0.5338181016414754
Male,50,125,3,0.4824230447230251
Male,50,125,4,0.4267536697390262
Male,50,125,5,0.2110689797015849
