sex,age_start,age_end,wealth_quintile,value
Female,0,5,1,0.8890450590738804
Female,0,5,2,0.9000489478004353
Female,0,5,3,0.9187850720669565
Female,0,5,4,0.9389398588360295
Female,0,5,5,0.9541440933705493
Female,5,15,1,0.8958810050806806
Female,5,15,2,0.9099286254075718
Female,5,15,3,0.9299509404223525
Female,5,15,4,0.9443361321720181
Female,5,15,5,0.9575525134559043
Female,15,30,1,0.8684711407233985
Female,15,30,2,0.8952506018242353
Female,15,30,3,0.9225900552897153
Female,15,30,4,0.9385810295325234
Female,15,30,5,0.952628080554391
Female,30,50,1,0.8731520638261057
Female,30,50,2,0.8963303261725684
Female,30,50,3,0.9302234984921518
Female,30,50,4,0.9439003838891681
Female,30,50,5,0.9547803977604653
Female,50,125,1,0.8730030471073911
Female,50,125,2,0.8935494542382372
Female,50,125,3,0.926466383328303
Female,50,125,4,0.9329605956305222
Female,50,125,5,0.949810773589342
Male,0,5,1,0.8849446540503801
Male,0,5,2,0.8936295885527112
Male,0,5,3,0.9173699094888531
Male,0,5,4,0.9414776712664854
Male,0,5,5,0.9536775061335252
Male,5,15,1,0.8938537359707792
Male,5,15,2,0.9105216878015262
Male,5,15,3,0.9266759829263356
Male,5,15,4,0.9432620120782989
Male,5,15,5,0.9542084164725411
Male,15,30,1,0.8660466349831627
Male,15,30,2,0.8997072948646547
Male,15,30,3,0.922584319191399
Male,15,30,4,0.9386310871820636
Male,15,30,5,0.9498632499905764
Male,30,50,1,0.8750564499672946
Male,30,50,2,0.8996551133573812
Male,30,50,3,0.9302518138410123
Male,30,50,4,0.9439468375422261
Male,30,50,5,0.953095565158603
Male,50,125,1,0.8634797600271892
Male,50,125,2,0.8841905218929097
Male,50,125,3,0.9176454386465691
Male,50,125,4,0.9294838987055163
Male,50,125,5,0.9490144526100226
