sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,bouillon,5.227305944168105
Female,0,5,2,bouillon,4.978386613493433
Female,0,5,3,bouillon,3.671560127451407
Female,0,5,4,bouillon,3.0492618007647283
Female,0,5,5,bouillon,2.862572302758724
Female,5,15,1,bouillon,6.813652972084053
Female,5,15,2,bouillon,6.489193306746717
Female,5,15,3,bouillon,4.785780063725704
Female,5,15,4,bouillon,3.9746309003823646
Female,5,15,5,bouillon,3.731286151379362
Female,15,125,1,bouillon,8.4
Female,15,125,2,bouillon,8.0
Female,15,125,3,bouillon,5.9
Female,15,125,4,bouillon,4.9
Female,15,125,5,bouillon,4.6
Male,0,5,1,bouillon,5.468697488492675
Male,0,5,2,bouillon,5.208283322373976
Male,0,5,3,bouillon,3.8411089502508076
Male,0,5,4,bouillon,3.1900735349540605
Male,0,5,5,bouillon,2.994762910365036
Male,5,15,1,bouillon,7.128300369996175
Male,5,15,2,bouillon,6.788857495234453
Male,5,15,3,bouillon,5.006782402735409
Male,5,15,4,bouillon,4.158175215831102
Male,5,15,5,bouillon,3.9035930597598103
Male,15,125,1,bouillon,8.787903251499676
Male,15,125,2,bouillon,8.36943166809493
Male,15,125,3,bouillon,6.172455855220011
Male,15,125,4,bouillon,5.126276896708145
Male,15,125,5,bouillon,4.812423209154584
