sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,bouillon,2.5285271136257483
Female,0,5,2,bouillon,2.1673089545363555
Female,0,5,3,bouillon,2.0641037662251
Female,0,5,4,bouillon,1.7028856071357081
Female,0,5,5,bouillon,1.1868596655794326
Female,5,15,1,bouillon,3.079078371627689
Female,5,15,2,bouillon,2.6392100328237333
Female,5,15,3,bouillon,2.513533364594031
Female,5,15,4,bouillon,2.0736650257900764
Female,5,15,5,bouillon,1.445281684641568
Female,15,125,1,bouillon,3.6296296296296298
Female,15,125,2,bouillon,3.111111111111111
Female,15,125,3,bouillon,2.9629629629629624
Female,15,125,4,bouillon,2.4444444444444446
Female,15,125,5,bouillon,1.7037037037037035
Male,0,5,1,bouillon,2.5988727190460743
Male,0,5,2,bouillon,2.227605187753778
Male,0,5,3,bouillon,2.121528750241693
Male,0,5,4,bouillon,1.750261218949397
Male,0,5,5,bouillon,1.2198790313889734
Male,5,15,1,bouillon,3.1647407444065165
Male,5,15,2,bouillon,2.712634923777014
Male,5,15,3,bouillon,2.5834618321685845
Male,5,15,4,bouillon,2.131356011539083
Male,5,15,5,bouillon,1.485490553496936
Male,15,125,1,bouillon,3.7306087697669588
Male,15,125,2,bouillon,3.19766465980025
Male,15,125,3,bouillon,3.0453949140954757
Male,15,125,4,bouillon,2.5124508041287683
Male,15,125,5,bouillon,1.7511020756048987
