sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,1,0.6102272163273983,rice
Female,0,5,2,0.6030205946243044,rice
Female,0,5,3,0.5627658251430038,rice
Female,0,5,4,0.5195859408520215,rice
Female,0,5,5,0.333848436563318,rice
Female,5,15,1,0.7226571248740826,rice
Female,5,15,2,0.6911045994061155,rice
Female,5,15,3,0.639363728754494,rice
Female,5,15,4,0.577194126737179,rice
Female,5,15,5,0.364201817592071,rice
Female,15,30,1,0.6490864740644224,rice
Female,15,30,2,0.6361746423625537,rice
Female,15,30,3,0.5745302248631908,rice
Female,15,30,4,0.5227442569350566,rice
Female,15,30,5,0.3375048017895107,rice
Female,30,50,1,0.6966271439680298,rice
Female,30,50,2,0.6586394608501291,rice
Female,30,50,3,0.6006922246111512,rice
Female,30,50,4,0.5448909943846076,rice
Female,30,50,5,0.3164260238645113,rice
Female,50,125,1,0.7058474628681976,rice
Female,50,125,2,0.6682543573798158,rice
Female,50,125,3,0.6132745691496908,rice
Female,50,125,4,0.5479411339500955,rice
Female,50,125,5,0.3160338504167055,rice
Male,0,5,1,0.6150594999653702,rice
Male,0,5,2,0.607957498053922,rice
Male,0,5,3,0.5574339416501414,rice
Male,0,5,4,0.5181453736166567,rice
Male,0,5,5,0.3172357080960735,rice
Male,5,15,1,0.7255490087706359,rice
Male,5,15,2,0.6860289096797316,rice
Male,5,15,3,0.6278030191876615,rice
Male,5,15,4,0.5694293031134103,rice
Male,5,15,5,0.3501114486586539,rice
Male,15,30,1,0.6853124388647173,rice
Male,15,30,2,0.636576748020457,rice
Male,15,30,3,0.556441391944516,rice
Male,15,30,4,0.5258095680304962,rice
Male,15,30,5,0.32940686281115966,rice
Male,30,50,1,0.673413857061917,rice
Male,30,50,2,0.6362132629580727,rice
Male,30,50,3,0.5685100919029893,rice
Male,30,50,4,0.5299469794275514,rice
Male,30,50,5,0.31071601424071166,rice
Male,50,125,1,0.7052391633085648,rice
Male,50,125,2,0.6650086200294963,rice
Male,50,125,3,0.6077405495233934,rice
Male,50,125,4,0.5438900211235624,rice
Male,50,125,5,0.31387326761327355,rice
