sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,rice,0.2717711274295468
Female,0,5,2,rice,0.2655758297424425
Female,0,5,3,rice,0.24786872085628742
Female,0,5,4,rice,0.23936812076277514
Female,0,5,5,rice,0.1432328991003026
Female,5,15,1,rice,0.3545798426205506
Female,5,15,2,rice,0.35052182120045716
Female,5,15,3,rice,0.3274596507526494
Female,5,15,4,rice,0.3021590101969298
Female,5,15,5,rice,0.1732287046601899
Female,15,30,1,rice,0.31826332584491523
Female,15,30,2,rice,0.31201957946584646
Female,15,30,3,rice,0.2970165188945059
Female,15,30,4,rice,0.27753537534191125
Female,15,30,5,rice,0.16608952653127512
Female,30,50,1,rice,0.3397574179673889
Female,30,50,2,rice,0.33136037776230265
Female,30,50,3,rice,0.306041050893458
Female,30,50,4,rice,0.2767958793155719
Female,30,50,5,rice,0.1435201925254128
Female,50,125,1,rice,0.35194108602538865
Female,50,125,2,rice,0.34285439716079513
Female,50,125,3,rice,0.31121321260952867
Female,50,125,4,rice,0.26873052362988653
Female,50,125,5,rice,0.1320508045837717
Male,0,5,1,rice,0.2703262269460404
Male,0,5,2,rice,0.27165525840854116
Male,0,5,3,rice,0.2486645758786521
Male,0,5,4,rice,0.24265470249145993
Male,0,5,5,rice,0.1405442954252019
Male,5,15,1,rice,0.3593657227789584
Male,5,15,2,rice,0.3524284204129066
Male,5,15,3,rice,0.3229458669765839
Male,5,15,4,rice,0.29812904068279644
Male,5,15,5,rice,0.1606808456328935
Male,15,30,1,rice,0.33308633338146926
Male,15,30,2,rice,0.30357866357782115
Male,15,30,3,rice,0.30514892277874317
Male,15,30,4,rice,0.2904983805407077
Male,15,30,5,rice,0.16925251408900036
Male,30,50,1,rice,0.3318095611837532
Male,30,50,2,rice,0.3123303064951787
Male,30,50,3,rice,0.2934649439832166
Male,30,50,4,rice,0.27249546300922567
Male,30,50,5,rice,0.1442801607255174
Male,50,125,1,rice,0.3493616422482555
Male,50,125,2,rice,0.33532355574258177
Male,50,125,3,rice,0.305382730490503
Male,50,125,4,rice,0.27076610578792515
Male,50,125,5,rice,0.13322101479467363
