sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0.0,0.01917808,not_pregnant,1,8110.649607183661
Female,0.0,0.01917808,not_pregnant,2,7372.711095040874
Female,0.0,0.01917808,not_pregnant,3,6970.098109231913
Female,0.0,0.01917808,not_pregnant,4,6250.761972760237
Female,0.0,0.01917808,not_pregnant,5,5010.3167214731775
Female,0.01917808,0.07671233,not_pregnant,1,24070.629571962447
Female,0.01917808,0.07671233,not_pregnant,2,21880.58987934133
Female,0.01917808,0.07671233,not_pregnant,3,20685.722820396288
Female,0.01917808,0.07671233,not_pregnant,4,18550.89089973232
Female,0.01917808,0.07671233,not_pregnant,5,14869.521392463139
Female,0.07671233,0.5,not_pregnant,1,175452.05553916682
Female,0.07671233,0.5,not_pregnant,2,159488.74370995263
Female,0.07671233,0.5,not_pregnant,3,150779.29633296598
Female,0.07671233,0.5,not_pregnant,4,135218.39678975625
Female,0.07671233,0.5,not_pregnant,5,108384.70532694805
Female,0.5,1.0,not_pregnant,1,202151.3609730639
Female,0.5,1.0,not_pregnant,2,183758.84227616736
Female,0.5,1.0,not_pregnant,3,173724.04026047877
Female,0.5,1.0,not_pregnant,4,155795.17068435258
Female,0.5,1.0,not_pregnant,5,124878.0792175784
Female,1.0,2.0,not_pregnant,1,392598.50519848784
Female,1.0,2.0,not_pregnant,2,356878.36306103773
Female,1.0,2.0,not_pregnant,3,337389.7568386584
Female,1.0,2.0,not_pregnant,4,302570.0684546475
Female,1.0,2.0,not_pregnant,5,242525.93203867832
Female,2.0,5.0,not_pregnant,1,1123727.65221023
Female,2.0,5.0,not_pregnant,2,1021486.5307356617
Female,2.0,5.0,not_pregnant,3,965704.6430688914
Female,2.0,5.0,not_pregnant,4,866040.8742048852
Female,2.0,5.0,not_pregnant,5,694177.6206512452
Female,5.0,10.0,not_pregnant,1,1602724.4115686784
Female,5.0,10.0,not_pregnant,2,1527333.3342807712
Female,5.0,10.0,not_pregnant,3,1533975.854577169
Female,5.0,10.0,not_pregnant,4,1514578.7860257758
Female,5.0,10.0,not_pregnant,5,1123704.8405138715
Female,10.0,15.0,not_pregnant,1,1508765.777003731
Female,10.0,15.0,not_pregnant,2,1437794.4506282213
Female,10.0,15.0,not_pregnant,3,1444047.5576651627
Female,10.0,15.0,not_pregnant,4,1425787.629137654
Female,10.0,15.0,not_pregnant,5,1057828.40429901
Female,15.0,20.0,not_pregnant,1,934173.0438899499
Female,15.0,20.0,not_pregnant,2,1052403.276222699
Female,15.0,20.0,not_pregnant,3,1092306.7300874684
Female,15.0,20.0,not_pregnant,4,1172703.91654578
Female,15.0,20.0,not_pregnant,5,1812331.8478768812
Female,15.0,20.0,pregnant,1,84980.98013076934
Female,15.0,20.0,pregnant,2,102001.64792809206
Female,15.0,20.0,pregnant,3,68616.59551484171
Female,15.0,20.0,pregnant,4,66315.24801160367
Female,15.0,20.0,pregnant,5,74364.93960401254
Female,20.0,25.0,not_pregnant,1,673722.5667829664
Female,20.0,25.0,not_pregnant,2,758989.8265476893
Female,20.0,25.0,not_pregnant,3,787768.0679421659
Female,20.0,25.0,not_pregnant,4,845750.2578341742
Female,20.0,25.0,not_pregnant,5,1307047.8455787788
Female,20.0,25.0,pregnant,1,272975.4631897272
Female,20.0,25.0,pregnant,2,327649.1639239738
Female,20.0,25.0,pregnant,3,220409.87188360526
Female,20.0,25.0,pregnant,4,213017.49538135465
