sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0.0,0.01917808,not_pregnant,1,17452.628924538978
Female,0.0,0.01917808,not_pregnant,2,17380.99749613658
Female,0.0,0.01917808,not_pregnant,3,16409.683913671317
Female,0.0,0.01917808,not_pregnant,4,14424.706826085372
Female,0.0,0.01917808,not_pregnant,5,13407.888483334817
Female,0.01917808,0.07671233,not_pregnant,1,51587.708216563326
Female,0.01917808,0.07671233,not_pregnant,2,51375.97500184042
Female,0.01917808,0.07671233,not_pregnant,3,48504.89799128475
Female,0.01917808,0.07671233,not_pregnant,4,42637.56308983796
Female,0.01917808,0.07671233,not_pregnant,5,39631.979907964924
Female,0.07671233,0.5,not_pregnant,1,376677.8573333464
Female,0.07671233,0.5,not_pregnant,2,375131.84537806985
Female,0.07671233,0.5,not_pregnant,3,354168.1085895472
Female,0.07671233,0.5,not_pregnant,4,311326.60204972886
Female,0.07671233,0.5,not_pregnant,5,289380.74184147135
Female,0.5,1.0,not_pregnant,1,435348.0333026294
Female,0.5,1.0,not_pregnant,2,433561.2193153226
Female,0.5,1.0,not_pregnant,3,409332.2358381211
Female,0.5,1.0,not_pregnant,4,359817.86897867965
Female,0.5,1.0,not_pregnant,5,334453.7895808713
Female,1.0,2.0,not_pregnant,1,860575.4110481661
Female,1.0,2.0,not_pregnant,2,857043.321630125
Female,1.0,2.0,not_pregnant,3,809148.6125234974
Female,1.0,2.0,not_pregnant,4,711270.9529195252
Female,1.0,2.0,not_pregnant,5,661132.4398589784
Female,2.0,5.0,not_pregnant,1,2493416.893963163
Female,2.0,5.0,not_pregnant,2,2483183.0767835556
Female,2.0,5.0,not_pregnant,3,2344413.742586029
Female,2.0,5.0,not_pregnant,4,2060824.6382902516
Female,2.0,5.0,not_pregnant,5,1915554.1438066913
Female,5.0,10.0,not_pregnant,1,3937886.741195165
Female,5.0,10.0,not_pregnant,2,3733146.281173545
Female,5.0,10.0,not_pregnant,3,3549890.180323623
Female,5.0,10.0,not_pregnant,4,3354720.6874089423
Female,5.0,10.0,not_pregnant,5,3090702.982915911
Female,10.0,15.0,not_pregnant,1,3650699.6070192573
Female,10.0,15.0,not_pregnant,2,3460890.715584503
Female,10.0,15.0,not_pregnant,3,3290999.345079103
Female,10.0,15.0,not_pregnant,4,3110063.4172800407
Female,10.0,15.0,not_pregnant,5,2865300.3264689767
Female,15.0,20.0,not_pregnant,1,2229250.7910515834
Female,15.0,20.0,not_pregnant,2,2626677.010128335
Female,15.0,20.0,not_pregnant,3,2703505.57527819
Female,15.0,20.0,not_pregnant,4,3017112.570938093
Female,15.0,20.0,not_pregnant,5,2913809.7010566485
Female,15.0,20.0,pregnant,1,308796.7357706712
Female,15.0,20.0,pregnant,2,361955.45542559
Female,15.0,20.0,pregnant,3,293626.6597135114
Female,15.0,20.0,pregnant,4,227561.0729768184
Female,15.0,20.0,pregnant,5,153182.70510221983
Female,20.0,25.0,not_pregnant,1,1540938.149297141
Female,20.0,25.0,not_pregnant,2,1815653.414607153
Female,20.0,25.0,not_pregnant,3,1868760.0760336705
Female,20.0,25.0,not_pregnant,4,2085536.4860448784
Female,20.0,25.0,not_pregnant,5,2014129.835087896
Female,20.0,25.0,pregnant,1,665865.2420285804
Female,20.0,25.0,pregnant,2,780492.5668304827
Female,20.0,25.0,pregnant,3,633153.6709681454
Female,20.0,25.0,pregnant,4,490694.9827556569
Female,20.0,25.0,pregnant,5,330311.2604248257
Female,25.0,30.0,not_pregnant,1,1249754.3578602835
Female,25.0,30.0,not_pregnant,2,1472557.9792441342
Female,25.0,30.0,not_pregnant,3,1515629.326124263
Female,25.0,30.0,not_pregnant,4,1691442.5235692002
Female,25.0,30.0,not_pregnant,5,1633529.2495974957
Female,25.0,30.0,pregnant,1,555987.4382197119
Female,25.0,30.0,pregnant,2,651699.5262578693
Female,25.0,30.0,pregnant,3,528673.769558129
Female,25.0,30.0,pregnant,4,409722.9126698782
Female,25.0,30.0,pregnant,5,275804.92253842606
Female,30.0,35.0,not_pregnant,1,1039459.6870471778
Female,30.0,35.0,not_pregnant,2,1093703.5377523242
Female,30.0,35.0,not_pregnant,3,1169547.8488250207
Female,30.0,35.0,not_pregnant,4,1332566.0270070771
Female,30.0,35.0,not_pregnant,5,1573645.8860795887
Female,30.0,35.0,pregnant,1,440383.52435613686
Female,30.0,35.0,pregnant,2,350057.6310586134
Female,30.0,35.0,pregnant,3,323340.83775780734
Female,30.0,35.0,pregnant,4,290918.5706188677
Female,30.0,35.0,pregnant,5,371756.1179759508
Female,35.0,40.0,not_pregnant,1,931403.2740446784
Female,35.0,40.0,not_pregnant,2,980008.2375397861
Female,35.0,40.0,not_pregnant,3,1047968.1984031517
Female,35.0,40.0,not_pregnant,4,1194039.9189129581
Female,35.0,40.0,not_pregnant,5,1410058.4647444286
Female,35.0,40.0,pregnant,1,242870.98039245544
Female,35.0,40.0,pregnant,2,193056.35962055525
Female,35.0,40.0,pregnant,3,178322.08046831805
Female,35.0,40.0,pregnant,4,160441.2394034913
Female,35.0,40.0,pregnant,5,205023.04887931328
Female,40.0,45.0,not_pregnant,1,821110.7450259827
Female,40.0,45.0,not_pregnant,2,863960.1303562669
Female,40.0,45.0,not_pregnant,3,923872.5825147482
Female,40.0,45.0,not_pregnant,4,1052647.1558895898
Female,40.0,45.0,not_pregnant,5,1243085.770451084
Female,40.0,45.0,pregnant,1,111573.99643352073
Female,40.0,45.0,pregnant,2,88689.35080249485
Female,40.0,45.0,pregnant,3,81920.47949919739
Female,40.0,45.0,pregnant,4,73706.08972742823
Female,40.0,45.0,pregnant,5,94186.80192868628
Female,45.0,50.0,not_pregnant,1,725853.8516906095
Female,45.0,50.0,not_pregnant,2,763732.2883971924
Female,45.0,50.0,not_pregnant,3,816694.3089612845
Female,45.0,50.0,not_pregnant,4,930529.7698295818
Female,45.0,50.0,not_pregnant,5,1098875.6387972445
Female,45.0,50.0,pregnant,1,47265.06478895218
Female,45.0,50.0,pregnant,2,37570.65307119026
Female,45.0,50.0,pregnant,3,34703.21844551511
Female,45.0,50.0,pregnant,4,31223.432140686375
Female,45.0,50.0,pregnant,5,39899.48767386899
Female,50.0,55.0,not_pregnant,1,757409.4704996948
Female,50.0,55.0,not_pregnant,2,714242.6692558619
Female,50.0,55.0,not_pregnant,3,884139.8736949355
Female,50.0,55.0,not_pregnant,4,745422.3567091806
Female,50.0,55.0,not_pregnant,5,761595.5258612746
Female,55.0,60.0,not_pregnant,1,615877.8273511266
Female,55.0,60.0,not_pregnant,2,580777.2948132773
Female,55.0,60.0,not_pregnant,3,718927.0344434592
Female,55.0,60.0,not_pregnant,4,606130.6590292914
Female,55.0,60.0,not_pregnant,5,619281.6647490936
Female,60.0,65.0,not_pregnant,1,455653.3727260865
Female,60.0,65.0,not_pregnant,2,429684.4624567542
Female,60.0,65.0,not_pregnant,3,531893.6864427229
Female,60.0,65.0,not_pregnant,4,448441.9909826081
