sex,age_start,age_end,value
Female,0.0,0.01917808,33714.53750568986
Female,0.01917808,0.07671233,100057.35456389553
Female,0.07671233,0.5,729323.1976987898
Female,0.5,1.0,840307.493411641
Female,1.0,2.0,1631962.6255915097
Female,2.0,5.0,4671137.320870914
Female,5.0,10.0,7302317.226966267
Female,10.0,15.0,6902023.479781268
Female,15.0,20.0,6460198.225812099
Female,20.0,25.0,5646205.231988235
Female,25.0,30.0,4867631.407035154
Female,30.0,35.0,4125113.49749665
Female,35.0,40.0,3398170.527091781
Female,40.0,45.0,2681692.2119751037
Female,45.0,50.0,1958185.0846460445
Female,50.0,55.0,1434761.5450196702
Female,55.0,60.0,1082598.2564037794
Female,60.0,65.0,822187.0573206532
Female,65.0,70.0,623041.7918717433
Female,70.0,75.0,426164.5236607582
Female,75.0,80.0,291938.11580816086
Female,80.0,85.0,190709.3417377094
Female,85.0,90.0,101524.00100039148
Female,90.0,95.0,39066.577939797404
Female,95.0,125.0,9383.727798783902
Male,0.0,0.01917808,35640.21034776814
Male,0.01917808,0.07671233,105176.16413319412
Male,0.07671233,0.5,765912.9419585741
Male,0.5,1.0,881903.5453259721
Male,1.0,2.0,1710803.7405505264
Male,2.0,5.0,4896095.955208397
Male,5.0,10.0,7651276.768659949
Male,10.0,15.0,7251332.418182
Male,15.0,20.0,6589635.231708606
Male,20.0,25.0,5512693.527898934
Male,25.0,30.0,4601895.58237101
Male,30.0,35.0,3836341.3666501073
Male,35.0,40.0,3152000.713156448
Male,40.0,45.0,2567003.7041685977
Male,45.0,50.0,2034745.6004766654
Male,50.0,55.0,1566298.2420727115
Male,55.0,60.0,1182643.5455573956
Male,60.0,65.0,881449.5899382057
Male,65.0,70.0,660554.5177380053
Male,70.0,75.0,478606.8458343774
Male,75.0,80.0,330605.79694259545
Male,80.0,85.0,205845.60297813165
Male,85.0,90.0,104176.75467236203
Male,90.0,95.0,38521.93980437989
Male,95.0,125.0,7718.537587535606
