sex,age_start,age_end,value
Female,0.0,0.01917808,193694.4935916653
Female,0.01917808,0.07671233,576633.1545749631
Female,0.07671233,0.5,4257480.261511637
Female,0.5,1.0,5021248.660700303
Female,1.0,2.0,10247702.783314366
Female,2.0,5.0,32318582.510020923
Female,5.0,10.0,58351185.94512102
Female,10.0,15.0,62865214.594812796
Female,15.0,20.0,64323105.527859844
Female,20.0,25.0,63740378.01577619
Female,25.0,30.0,61598644.00082598
Female,30.0,35.0,57337948.139395766
Female,35.0,40.0,53191187.23207616
Female,40.0,45.0,46836965.5695645
Female,45.0,50.0,39965261.1685965
Female,50.0,55.0,34840482.743902996
Female,55.0,60.0,29939520.591983933
Female,60.0,65.0,25820357.493856654
Female,65.0,70.0,20353546.779345058
Female,70.0,75.0,15115581.951027915
Female,75.0,80.0,9683317.49558783
Female,80.0,85.0,5632096.401693238
Female,85.0,90.0,2700635.382928799
Female,90.0,95.0,833807.4571891814
Female,95.0,125.0,202480.86415294284
Male,0.0,0.01917808,212628.21958469844
Male,0.01917808,0.07671233,631572.2940892633
Male,0.07671233,0.5,4661302.424856455
Male,0.5,1.0,5496262.016976897
Male,1.0,2.0,11202861.149482207
Male,2.0,5.0,35214468.93925185
Male,5.0,10.0,63450634.79021688
Male,10.0,15.0,67923840.06250793
Male,15.0,20.0,69604777.69319008
Male,20.0,25.0,67934757.11763364
Male,25.0,30.0,64488479.18014137
Male,30.0,35.0,60618203.06985788
Male,35.0,40.0,56588659.98378184
Male,40.0,45.0,49507070.522194125
Male,45.0,50.0,41847136.60447661
Male,50.0,55.0,35622667.06126257
Male,55.0,60.0,29266497.455502663
Male,60.0,65.0,24676218.983655952
Male,65.0,70.0,19149041.00816375
Male,70.0,75.0,13825031.305430634
Male,75.0,80.0,8592743.78817292
Male,80.0,85.0,4496315.166747285
Male,85.0,90.0,1811393.033179215
Male,90.0,95.0,511699.41217074345
Male,95.0,125.0,103801.95440082526
