sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,1,163.93027570664353,rice
Female,0,5,2,134.7705862199601,rice
Female,0,5,3,127.86186692963082,rice
Female,0,5,4,131.58620292527095,rice
Female,0,5,5,97.15643600053276,rice
Female,5,15,1,188.16122728835168,rice
Female,5,15,2,161.62441091291865,rice
Female,5,15,3,162.03718839738517,rice
Female,5,15,4,160.09878474726673,rice
Female,5,15,5,121.70113765895059,rice
Female,15,30,1,190.90633914477968,rice
Female,15,30,2,154.97541417513793,rice
Female,15,30,3,154.9456474249933,rice
Female,15,30,4,157.91947952284667,rice
Female,15,30,5,117.733204045704,rice
Female,30,50,1,199.81295806689278,rice
Female,30,50,2,166.21161892155445,rice
Female,30,50,3,167.84276936952665,rice
Female,30,50,4,166.71544909849277,rice
Female,30,50,5,121.55705104949256,rice
Female,50,125,1,199.44547654682907,rice
Female,50,125,2,171.4682681429131,rice
Female,50,125,3,175.46843417941332,rice
Female,50,125,4,164.0296673693039,rice
Female,50,125,5,121.4371957908723,rice
Male,0,5,1,164.2976599969681,rice
Male,0,5,2,135.22760860996308,rice
Male,0,5,3,129.60622242703306,rice
Male,0,5,4,130.59372759869356,rice
Male,0,5,5,97.03942421244133,rice
Male,5,15,1,193.3696033618199,rice
Male,5,15,2,162.5982152425639,rice
Male,5,15,3,161.44647037389956,rice
Male,5,15,4,162.64049293403775,rice
Male,5,15,5,117.64008890535794,rice
Male,15,30,1,195.43728431110227,rice
Male,15,30,2,157.44543086903752,rice
Male,15,30,3,158.89054987093115,rice
Male,15,30,4,157.5650241297426,rice
Male,15,30,5,118.19705228386779,rice
Male,30,50,1,197.58441699011425,rice
Male,30,50,2,162.4240903903396,rice
Male,30,50,3,161.84766863979192,rice
Male,30,50,4,164.11030160278347,rice
Male,30,50,5,117.89188787652243,rice
Male,50,125,1,201.32319514736406,rice
Male,50,125,2,171.74342091640818,rice
Male,50,125,3,172.5588998790047,rice
Male,50,125,4,167.45346495547952,rice
Male,50,125,5,123.24023135033653,rice
