sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,1,0.8900883471821671,rice
Female,0,5,2,0.8751156953000109,rice
Female,0,5,3,0.8730996614434906,rice
Female,0,5,4,0.884775335291021,rice
Female,0,5,5,0.8655639446870934,rice
Female,5,15,1,0.9611455750104336,rice
Female,5,15,2,0.9804782211188979,rice
Female,5,15,3,0.9898302420230922,rice
Female,5,15,4,0.9925940557446221,rice
Female,5,15,5,0.9885652484608873,rice
Female,15,30,1,0.9766400171916961,rice
Female,15,30,2,0.9703498391846341,rice
Female,15,30,3,0.9881813673844934,rice
Female,15,30,4,0.9917226238754535,rice
Female,15,30,5,0.9883010364221555,rice
Female,30,50,1,0.990253383323387,rice
Female,30,50,2,0.987106919755203,rice
Female,30,50,3,0.9910453518305707,rice
Female,30,50,4,0.9922157223878445,rice
Female,30,50,5,0.9888806098585162,rice
Female,50,125,1,0.9815914448561662,rice
Female,50,125,2,0.9817429662472666,rice
Female,50,125,3,0.9895520452635,rice
Female,50,125,4,0.9911999860697328,rice
Female,50,125,5,0.986714330391329,rice
Male,0,5,1,0.8935945108096927,rice
Male,0,5,2,0.8732931095738131,rice
Male,0,5,3,0.8762428571819179,rice
Male,0,5,4,0.8824206570674908,rice
Male,0,5,5,0.8730047587759979,rice
Male,5,15,1,0.9732956361941263,rice
Male,5,15,2,0.9820613087272038,rice
Male,5,15,3,0.9904764119533964,rice
Male,5,15,4,0.9921619653287373,rice
Male,5,15,5,0.9868838819908048,rice
Male,15,30,1,0.9769316403268112,rice
Male,15,30,2,0.9594373932091051,rice
Male,15,30,3,0.9871142884908749,rice
Male,15,30,4,0.9911974186163117,rice
Male,15,30,5,0.9881076295435512,rice
Male,30,50,1,0.9891277443642166,rice
Male,30,50,2,0.9808411359351458,rice
Male,30,50,3,0.9901374150701815,rice
Male,30,50,4,0.9922913227321911,rice
Male,30,50,5,0.9878430553908545,rice
Male,50,125,1,0.9836083291887179,rice
Male,50,125,2,0.9815011035344703,rice
Male,50,125,3,0.9890914656976315,rice
Male,50,125,4,0.9913729401609025,rice
Male,50,125,5,0.9862076175806453,rice
