sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,1,0.477078919135382,rice
Female,0,5,2,0.4741798555336242,rice
Female,0,5,3,0.4435861029858111,rice
Female,0,5,4,0.4227205187278593,rice
Female,0,5,5,0.2585613763349724,rice
Female,5,15,1,0.5764277737933673,rice
Female,5,15,2,0.5585951159636198,rice
Female,5,15,3,0.516912580136219,rice
Female,5,15,4,0.475646061650577,rice
Female,5,15,5,0.2738006939379641,rice
Female,15,30,1,0.5091809037915678,rice
Female,15,30,2,0.5024276536440171,rice
Female,15,30,3,0.4696387992024266,rice
Female,15,30,4,0.4372684594782389,rice
Female,15,30,5,0.2625868795449335,rice
Female,30,50,1,0.5360960886519675,rice
Female,30,50,2,0.5245131807828853,rice
Female,30,50,3,0.4825098479476843,rice
Female,30,50,4,0.4358866239185888,rice
Female,30,50,5,0.2267718656684371,rice
Female,50,125,1,0.56022080244928,rice
Female,50,125,2,0.5456723541514182,rice
Female,50,125,3,0.4914048200192475,rice
Female,50,125,4,0.4236192989031755,rice
Female,50,125,5,0.2091075155261132,rice
Male,0,5,1,0.4726805329415712,rice
Male,0,5,2,0.4860468227792296,rice
Male,0,5,3,0.4434140565321938,rice
Male,0,5,4,0.4296680609256267,rice
Male,0,5,5,0.2515455493161002,rice
Male,5,15,1,0.5769150923534276,rice
Male,5,15,2,0.5607281358114589,rice
Male,5,15,3,0.5094547543598189,rice
Male,5,15,4,0.4695066353531554,rice
Male,5,15,5,0.2544005691884786,rice
Male,15,30,1,0.5327367590780879,rice
Male,15,30,2,0.4943956376911452,rice
Male,15,30,3,0.4830192384011813,rice
Male,15,30,4,0.4579347273003342,rice
Male,15,30,5,0.2676399264179622,rice
Male,30,50,1,0.5241511445853346,rice
Male,30,50,2,0.4975485693036683,rice
Male,30,50,3,0.4631064011870255,rice
Male,30,50,4,0.429081814178906,rice
Male,30,50,5,0.2282121131523501,rice
Male,50,125,1,0.5549745257476011,rice
Male,50,125,2,0.5338181016414754,rice
Male,50,125,3,0.4824230447230251,rice
Male,50,125,4,0.4267536697390262,rice
Male,50,125,5,0.2110689797015849,rice
