wealth_quintile,entity,scenario,value
1,ntd,zero,2198.402026122217
2,ntd,zero,2091.1831749427215
3,ntd,zero,1903.3423969073258
4,ntd,zero,1677.2685401567614
5,ntd,zero,1323.196985098892
1,ntd,baseline,2198.402026122217
2,ntd,baseline,2091.1831749427215
3,ntd,baseline,1903.3423969073258
4,ntd,baseline,1677.2685401567614
5,ntd,baseline,1323.196985098892
1,ntd,intervention_25_nrv,1039.7369543096097
2,ntd,intervention_25_nrv,927.8096018576185
3,ntd,intervention_25_nrv,751.6401813360715
4,ntd,intervention_25_nrv,1123.0190382945539
5,ntd,intervention_25_nrv,999.7002647295166
1,ntd,intervention_100_nrv,302.0339660544268
2,ntd,intervention_100_nrv,254.44252395686826
3,ntd,intervention_100_nrv,187.42463737494722
4,ntd,intervention_100_nrv,488.9887814199472
5,ntd,intervention_100_nrv,527.6846869013679
1,ntd,intervention_45_ppm,389.2827237563227
2,ntd,intervention_45_ppm,330.7570948377656
3,ntd,intervention_45_ppm,246.971203253642
4,ntd,intervention_45_ppm,589.135964174116
5,ntd,intervention_45_ppm,612.6540615437128
