wealth_quintile,entity,scenario,value
1,ntd,zero,155336.66976370482
2,ntd,zero,147760.70363912336
3,ntd,zero,134488.08081621322
4,ntd,zero,118513.95069306475
5,ntd,zero,93495.64395607488
1,ntd,baseline,155336.66976370482
2,ntd,baseline,147760.70363912336
3,ntd,baseline,134488.08081621322
4,ntd,baseline,118513.95069306475
5,ntd,baseline,93495.64395607488
1,ntd,intervention_25_nrv,73466.66987821144
2,ntd,intervention_25_nrv,65558.00623126746
3,ntd,intervention_25_nrv,53110.06869625291
4,ntd,intervention_25_nrv,79351.29035412215
5,ntd,intervention_25_nrv,70637.72141754023
1,ntd,intervention_100_nrv,21341.38791946794
2,ntd,intervention_100_nrv,17978.62895325329
3,ntd,intervention_100_nrv,13243.218781438547
4,ntd,intervention_100_nrv,34551.409594345045
5,ntd,intervention_100_nrv,37285.61972495417
1,ntd,intervention_45_ppm,27506.28919839327
2,ntd,intervention_45_ppm,23370.93261483378
3,ntd,intervention_45_ppm,17450.71364796087
4,ntd,intervention_45_ppm,41627.69940412566
5,ntd,intervention_45_ppm,43289.46230334192
