wealth_quintile,entity,scenario,value
1,ntd,zero,4684.597214204819
2,ntd,zero,4138.352740079671
3,ntd,zero,3715.268142871963
4,ntd,zero,3503.314763237015
5,ntd,zero,2983.6261237209
1,ntd,baseline,4448.709283612877
2,ntd,baseline,3960.53593047204
3,ntd,baseline,3580.209217928837
4,ntd,baseline,3392.5827702700894
5,ntd,baseline,2941.349513504252
1,ntd,intervention,2602.084759486639
2,ntd,intervention,2441.9984929729135
3,ntd,intervention,2251.844838422534
4,ntd,intervention,2146.948139459898
5,ntd,intervention,2057.9611971359022
