wealth_quintile,entity,scenario,value
1,ntd,zero,363252.78886695096
2,ntd,zero,320895.9288091749
3,ntd,zero,288089.1253989829
4,ntd,zero,271653.8476703636
5,ntd,zero,231356.17873219342
1,ntd,baseline,337620.0984386051
2,ntd,baseline,301581.74692771636
3,ntd,baseline,273425.09672187263
4,ntd,baseline,259634.68475791797
5,ntd,baseline,226772.69185500953
1,ntd,intervention,191469.49825071005
2,ntd,intervention,184057.44833714238
3,ntd,intervention,178650.69594164347
4,ntd,intervention,178416.9396765491
5,ntd,intervention,189908.37575806127
