wealth_quintile,entity,scenario,value
1,ntd,zero,7596.11775664314
2,ntd,zero,7767.503193579848
3,ntd,zero,7031.727783282595
4,ntd,zero,6232.914051353447
5,ntd,zero,5474.484244219731
1,ntd,baseline,7596.11775664314
2,ntd,baseline,7767.503193579848
3,ntd,baseline,7031.727783282595
4,ntd,baseline,6232.914051353447
5,ntd,baseline,5474.484244219731
1,ntd,intervention,2666.6665856968457
2,ntd,intervention,2903.385295007447
3,ntd,intervention,3222.4454709963757
4,ntd,intervention,3225.543108292693
5,ntd,intervention,2975.408608653092
