wealth_quintile,entity,scenario,value
1,ntd,zero,414148.38573325804
2,ntd,zero,423492.50128273765
3,ntd,zero,383377.2465961786
4,ntd,zero,339825.07584544306
5,ntd,zero,298474.67944832065
1,ntd,baseline,414148.38573325804
2,ntd,baseline,423492.50128273765
3,ntd,baseline,383377.2465961786
4,ntd,baseline,339825.07584544306
5,ntd,baseline,298474.67944832065
1,ntd,intervention,145389.48672686447
2,ntd,intervention,158295.64148573572
3,ntd,intervention,175691.14022218215
4,ntd,intervention,175860.02668852676
5,ntd,intervention,162222.42883120806
