wealth_quintile,entity,scenario,value
1,ntd,zero,7596.119667815998
2,ntd,zero,7767.505147873048
3,ntd,zero,7031.729552455706
4,ntd,zero,6232.915619546114
5,ntd,zero,5474.485621592494
1,ntd,baseline,7596.119667815998
2,ntd,baseline,7767.505147873048
3,ntd,baseline,7031.729552455706
4,ntd,baseline,6232.915619546114
5,ntd,baseline,5474.485621592494
1,ntd,intervention,7278.202365883279
2,ntd,intervention,7153.134514695639
3,ntd,intervention,6263.038216652528
4,ntd,intervention,5331.32097538342
5,ntd,intervention,4596.985697700297
