wealth_quintile,entity,scenario,value
1,ntd,zero,414148.48993242654
2,ntd,zero,423492.6078328729
3,ntd,zero,383377.3430533705
4,ntd,zero,339825.16134496825
5,ntd,zero,298474.7545441425
1,ntd,baseline,414148.48993242654
2,ntd,baseline,423492.6078328729
3,ntd,baseline,383377.3430533705
4,ntd,baseline,339825.16134496825
5,ntd,baseline,298474.7545441425
1,ntd,intervention,396815.30190003174
2,ntd,intervention,389996.4701841609
3,ntd,intervention,341467.47724440316
4,ntd,intervention,290669.2663959752
5,ntd,intervention,250632.52926489542
