wealth_quintile,entity,scenario,value
1,ntd,zero,12734.955656846218
2,ntd,zero,13022.284791220081
3,ntd,zero,11788.751093649526
4,ntd,zero,10449.533116769044
5,ntd,zero,9178.019131321482
1,ntd,baseline,12734.955656846218
2,ntd,baseline,13022.284791220081
3,ntd,baseline,11788.751093649526
4,ntd,baseline,10449.533116769044
5,ntd,baseline,9178.019131321482
1,ntd,intervention_25_nrv,8202.786031673484
2,ntd,intervention_25_nrv,8649.125643589914
3,ntd,intervention_25_nrv,7942.5413613099145
4,ntd,intervention_25_nrv,7160.97560851296
5,ntd,intervention_25_nrv,6285.281784768742
1,ntd,intervention_100_nrv,4385.035942405521
2,ntd,intervention_100_nrv,4727.286925426651
3,ntd,intervention_100_nrv,4388.650209375803
4,ntd,intervention_100_nrv,4010.431203942271
5,ntd,intervention_100_nrv,3518.0470716615064
