scenario,entity,wealth_quintile,value
baseline,anemia,1,382307.3643284127
baseline,anemia,2,245090.68289966296
baseline,anemia,3,200413.0880433794
baseline,anemia,4,193901.55747056473
baseline,anemia,5,136614.5524202559
baseline,lbwsg,1,0.0
baseline,lbwsg,2,0.0
baseline,lbwsg,3,0.0
baseline,lbwsg,4,0.0
baseline,lbwsg,5,0.0
baseline,maternal_disorders,1,0.0
baseline,maternal_disorders,2,0.0
baseline,maternal_disorders,3,0.0
baseline,maternal_disorders,4,0.0
baseline,maternal_disorders,5,0.0
baseline,ntd,1,155688.17482685446
baseline,ntd,2,148095.06535514773
baseline,ntd,3,134792.40845122744
baseline,ntd,4,118782.1311155358
baseline,ntd,5,93707.21146478344
intervention_100_nrv,anemia,1,369700.37835425686
intervention_100_nrv,anemia,2,234330.24842454007
intervention_100_nrv,anemia,3,188640.0144325959
intervention_100_nrv,anemia,4,189125.6098795287
intervention_100_nrv,anemia,5,132978.3462117262
intervention_100_nrv,lbwsg,1,0.0
intervention_100_nrv,lbwsg,2,0.0
intervention_100_nrv,lbwsg,3,0.0
intervention_100_nrv,lbwsg,4,0.0
intervention_100_nrv,lbwsg,5,0.0
intervention_100_nrv,maternal_disorders,1,0.0
intervention_100_nrv,maternal_disorders,2,0.0
intervention_100_nrv,maternal_disorders,3,0.0
intervention_100_nrv,maternal_disorders,4,0.0
intervention_100_nrv,maternal_disorders,5,0.0
intervention_100_nrv,ntd,1,27550.93638468282
intervention_100_nrv,ntd,2,23408.93518884124
intervention_100_nrv,ntd,3,17479.247487864017
intervention_100_nrv,ntd,4,41697.1249728968
intervention_100_nrv,ntd,5,43364.65043229661
intervention_25_nrv,anemia,1,378950.427902351
intervention_25_nrv,anemia,2,242154.11423948433
intervention_25_nrv,anemia,3,197141.91632069365
intervention_25_nrv,anemia,4,192654.4290700042
intervention_25_nrv,anemia,5,135674.0665188219
intervention_25_nrv,lbwsg,1,0.0
intervention_25_nrv,lbwsg,2,0.0
intervention_25_nrv,lbwsg,3,0.0
intervention_25_nrv,lbwsg,4,0.0
intervention_25_nrv,lbwsg,5,0.0
intervention_25_nrv,maternal_disorders,1,0.0
intervention_25_nrv,maternal_disorders,2,0.0
intervention_25_nrv,maternal_disorders,3,0.0
intervention_25_nrv,maternal_disorders,4,0.0
intervention_25_nrv,maternal_disorders,5,0.0
intervention_25_nrv,ntd,1,83522.78757289684
intervention_25_nrv,ntd,2,75186.9204755828
intervention_25_nrv,ntd,3,61846.279399105646
intervention_25_nrv,ntd,4,85569.55859919247
intervention_25_nrv,ntd,5,74621.6295144069
zero,anemia,1,382307.3643284127
zero,anemia,2,245090.68289966296
zero,anemia,3,200413.0880433794
zero,anemia,4,193901.55747056473
zero,anemia,5,136614.5524202559
zero,lbwsg,1,0.0
zero,lbwsg,2,0.0
zero,lbwsg,3,0.0
zero,lbwsg,4,0.0
zero,lbwsg,5,0.0
zero,maternal_disorders,1,0.0
zero,maternal_disorders,2,0.0
zero,maternal_disorders,3,0.0
zero,maternal_disorders,4,0.0
zero,maternal_disorders,5,0.0
zero,ntd,1,155688.17482685446
zero,ntd,2,148095.06535514773
zero,ntd,3,134792.40845122744
zero,ntd,4,118782.1311155358
zero,ntd,5,93707.21146478344
