scenario,entity,wealth_quintile,value
baseline,anemia,1,4457717.423675078
baseline,anemia,2,4035954.606842727
baseline,anemia,3,3976980.031309527
baseline,anemia,4,3667321.6019535707
baseline,anemia,5,3263564.217112749
baseline,lbwsg,1,17521395.24838859
baseline,lbwsg,2,14618759.236490265
baseline,lbwsg,3,12951388.211097235
baseline,lbwsg,4,12100872.859447915
baseline,lbwsg,5,11625414.463951193
baseline,maternal_disorders,1,480995.1516029616
baseline,maternal_disorders,2,278174.41811728594
baseline,maternal_disorders,3,354929.9287855448
baseline,maternal_disorders,4,320116.60600455356
baseline,maternal_disorders,5,208815.93889834048
baseline,ntd,1,337620.0984386051
baseline,ntd,2,301581.7469277164
baseline,ntd,3,273425.09672187263
baseline,ntd,4,259634.684757918
baseline,ntd,5,226772.69185500956
intervention,anemia,1,4457717.423675078
intervention,anemia,2,4035954.606842727
intervention,anemia,3,3976980.031309527
intervention,anemia,4,3667321.6019535707
intervention,anemia,5,3263564.217112749
intervention,lbwsg,1,17521395.24838859
intervention,lbwsg,2,14618759.236490265
intervention,lbwsg,3,12951388.211097235
intervention,lbwsg,4,12100872.859447915
intervention,lbwsg,5,11625414.463951193
intervention,maternal_disorders,1,480995.1516029616
intervention,maternal_disorders,2,278174.41811728594
intervention,maternal_disorders,3,354929.9287855448
intervention,maternal_disorders,4,320116.60600455356
intervention,maternal_disorders,5,208815.93889834048
intervention,ntd,1,191469.49825071005
intervention,ntd,2,184057.4483371424
intervention,ntd,3,178650.69594164347
intervention,ntd,4,178416.9396765491
intervention,ntd,5,189908.37575806127
zero,anemia,1,4771172.487854659
zero,anemia,2,4315488.605002881
zero,anemia,3,4219911.362271462
zero,anemia,4,3866404.723234419
zero,anemia,5,3364404.8215543935
zero,lbwsg,1,17573826.51946129
zero,lbwsg,2,14652125.350537302
zero,lbwsg,3,12980217.008382976
zero,lbwsg,4,12127306.611149335
zero,lbwsg,5,11639067.445547093
zero,maternal_disorders,1,495942.03928233014
zero,maternal_disorders,2,286458.8253328343
zero,maternal_disorders,3,362010.61495425046
zero,maternal_disorders,4,326290.25444188714
zero,maternal_disorders,5,210836.86376703723
zero,ntd,1,363252.78886695096
zero,ntd,2,320895.9288091749
zero,ntd,3,288089.1253989829
zero,ntd,4,271653.8476703636
zero,ntd,5,231356.17873219345
