scenario,entity,wealth_quintile,value
baseline,anemia,1,1024476.0573842013
baseline,anemia,2,968887.4507802925
baseline,anemia,3,792656.8327877751
baseline,anemia,4,714586.8735320346
baseline,anemia,5,607199.6095192959
baseline,lbwsg,1,15352837.41703859
baseline,lbwsg,2,15897148.113874054
baseline,lbwsg,3,14099361.49543928
baseline,lbwsg,4,12459036.398115996
baseline,lbwsg,5,9475405.513778042
baseline,maternal_disorders,1,503563.4310516943
baseline,maternal_disorders,2,427687.88402114593
baseline,maternal_disorders,3,410833.68965515617
baseline,maternal_disorders,4,388520.2631627004
baseline,maternal_disorders,5,285742.923347472
baseline,ntd,1,412740.8750394843
baseline,ntd,2,422053.233993954
baseline,ntd,3,382074.3136549376
baseline,ntd,4,338670.15783841495
baseline,ntd,5,297460.2934996698
intervention,anemia,1,936022.8859217816
intervention,anemia,2,879712.0671681868
intervention,anemia,3,710494.8274198447
intervention,anemia,4,638157.4224089837
intervention,anemia,5,538594.1779259302
intervention,lbwsg,1,15313201.026191033
intervention,lbwsg,2,15861768.304142075
intervention,lbwsg,3,14071759.731581816
intervention,lbwsg,4,12438352.046814894
intervention,lbwsg,5,9459264.547465052
intervention,maternal_disorders,1,490771.16944929305
intervention,maternal_disorders,2,414148.9927694211
intervention,maternal_disorders,3,399053.6322864843
intervention,maternal_disorders,4,378864.64607714984
intervention,maternal_disorders,5,277008.0445347658
intervention,ntd,1,199329.036833304
intervention,ntd,2,213706.08393067415
intervention,ntd,3,224928.92949582677
intervention,ntd,4,217627.0671460086
intervention,ntd,5,197919.68825385155
zero,anemia,1,1024476.0573842013
zero,anemia,2,968887.4507802925
zero,anemia,3,792656.8327877751
zero,anemia,4,714586.8735320346
zero,anemia,5,607199.6095192959
zero,lbwsg,1,15352837.41703859
zero,lbwsg,2,15897148.113874054
zero,lbwsg,3,14099361.49543928
zero,lbwsg,4,12459036.398115996
zero,lbwsg,5,9475405.513778042
zero,maternal_disorders,1,503563.4310516943
zero,maternal_disorders,2,427687.88402114593
zero,maternal_disorders,3,410833.68965515617
zero,maternal_disorders,4,388520.2631627004
zero,maternal_disorders,5,285742.923347472
zero,ntd,1,412740.8750394843
zero,ntd,2,422053.233993954
zero,ntd,3,382074.3136549376
zero,ntd,4,338670.15783841495
zero,ntd,5,297460.2934996698
