scenario,entity,wealth_quintile,value
baseline,anemia,1,1108055.7165852622
baseline,anemia,2,949118.3167773121
baseline,anemia,3,812839.9148483488
baseline,anemia,4,743901.0935936449
baseline,anemia,5,534727.6074530099
baseline,lbwsg,1,17011801.165714
baseline,lbwsg,2,17262124.570253227
baseline,lbwsg,3,14358061.731022177
baseline,lbwsg,4,11515870.466143334
baseline,lbwsg,5,10051053.703680402
baseline,maternal_disorders,1,549998.5622454192
baseline,maternal_disorders,2,546745.5795701167
baseline,maternal_disorders,3,368675.53022314754
baseline,maternal_disorders,4,322335.2502269547
baseline,maternal_disorders,5,226666.87527524756
baseline,ntd,1,414148.3857332581
baseline,ntd,2,423492.5012827377
baseline,ntd,3,383377.2465961786
baseline,ntd,4,339825.07584544306
baseline,ntd,5,298474.67944832065
intervention,anemia,1,1095087.2941989817
intervention,anemia,2,933283.9218038042
intervention,anemia,3,795605.3164691125
intervention,anemia,4,725012.2281943668
intervention,anemia,5,518842.10283928673
intervention,lbwsg,1,17010188.777301278
intervention,lbwsg,2,17259036.499069694
intervention,lbwsg,3,14355864.065688139
intervention,lbwsg,4,11513231.572799293
intervention,lbwsg,5,10048256.949447837
intervention,maternal_disorders,1,548148.4934272241
intervention,maternal_disorders,2,544582.1500720796
intervention,maternal_disorders,3,366748.2475228871
intervention,maternal_disorders,4,320032.2166143721
intervention,maternal_disorders,5,225192.2438450037
intervention,ntd,1,396815.2020618687
intervention,ntd,2,389996.3720616061
intervention,ntd,3,341467.3913316737
intervention,ntd,4,290669.1932640035
intervention,ntd,5,250632.46620610912
zero,anemia,1,1108055.7165852622
zero,anemia,2,949118.3167773121
zero,anemia,3,812839.9148483488
zero,anemia,4,743901.0935936449
zero,anemia,5,534727.6074530099
zero,lbwsg,1,17011801.165714
zero,lbwsg,2,17262124.570253227
zero,lbwsg,3,14358061.731022177
zero,lbwsg,4,11515870.466143334
zero,lbwsg,5,10051053.703680402
zero,maternal_disorders,1,549998.5622454192
zero,maternal_disorders,2,546745.5795701167
zero,maternal_disorders,3,368675.53022314754
zero,maternal_disorders,4,322335.2502269547
zero,maternal_disorders,5,226666.87527524756
zero,ntd,1,414148.3857332581
zero,ntd,2,423492.5012827377
zero,ntd,3,383377.2465961786
zero,ntd,4,339825.07584544306
zero,ntd,5,298474.67944832065
