sex,age_start,age_end,wealth_quintile,vehicle_name,value
female,0.0,5.0,lowest,rice,0.2947497219505148
female,0.0,5.0,second,rice,0.2987306258639212
female,0.0,5.0,middle,rice,0.27897641597698036
female,0.0,5.0,fourth,rice,0.23927084775680477
female,0.0,5.0,highest,rice,0.13735470367953784
female,5.0,15.0,lowest,rice,0.38492318301226697
female,5.0,15.0,second,rice,0.3724369130066323
female,5.0,15.0,middle,rice,0.34412049334219674
female,5.0,15.0,fourth,rice,0.29822320922218876
female,5.0,15.0,highest,rice,0.17011692716449506
female,15.0,30.0,lowest,rice,0.3401179170826516
female,15.0,30.0,second,rice,0.3477145502028144
female,15.0,30.0,middle,rice,0.3081902656130757
female,15.0,30.0,fourth,rice,0.2787785840934642
female,15.0,30.0,highest,rice,0.16602582943705113
female,30.0,50.0,lowest,rice,0.3677244043515394
female,30.0,50.0,second,rice,0.3653846434246937
female,30.0,50.0,middle,rice,0.3297470981157826
female,30.0,50.0,fourth,rice,0.28299613006806984
female,30.0,50.0,highest,rice,0.15107557104502833
female,50.0,100.0,lowest,rice,0.38476557886745355
female,50.0,100.0,second,rice,0.37140262145373854
female,50.0,100.0,middle,rice,0.33534190790158525
female,50.0,100.0,fourth,rice,0.28280211643684366
female,50.0,100.0,highest,rice,0.14585318815463758
male,0.0,5.0,lowest,rice,0.3011245608693517
male,0.0,5.0,second,rice,0.3049582512621001
male,0.0,5.0,middle,rice,0.276643007609199
male,0.0,5.0,fourth,rice,0.23958984400433422
male,0.0,5.0,highest,rice,0.13638794204584745
male,5.0,15.0,lowest,rice,0.3880704517960822
male,5.0,15.0,second,rice,0.37582611670092547
male,5.0,15.0,middle,rice,0.3376509959727327
male,5.0,15.0,fourth,rice,0.29846624059147364
male,5.0,15.0,highest,rice,0.16581606275635818
male,15.0,30.0,lowest,rice,0.3615871016093222
male,15.0,30.0,second,rice,0.34771037377334796
male,15.0,30.0,middle,rice,0.30530290671064453
male,15.0,30.0,fourth,rice,0.2810296161212587
male,15.0,30.0,highest,rice,0.16443686553169096
male,30.0,50.0,lowest,rice,0.3543246743779176
male,30.0,50.0,second,rice,0.3516642158123789
male,30.0,50.0,middle,rice,0.31127044502803225
male,30.0,50.0,fourth,rice,0.27520448273555576
male,30.0,50.0,highest,rice,0.14883752904370953
male,50.0,100.0,lowest,rice,0.379384177809121
male,50.0,100.0,second,rice,0.36598440662283677
male,50.0,100.0,middle,rice,0.3289892916848644
male,50.0,100.0,fourth,rice,0.2801284002495513
male,50.0,100.0,highest,rice,0.14541715031917463
