wealth_quintile,vehicle_name,sex,age_start,age_end,value
1,rice,Female,0,5,0.2958918547170641
1,rice,Female,5,15,0.38895132446342484
1,rice,Female,15,30,0.34094382103755744
1,rice,Female,30,50,0.3686772232622296
1,rice,Female,50,125,0.38587779922052956
1,rice,Male,0,5,0.30201931250938974
1,rice,Male,5,15,0.3920689789930825
1,rice,Male,15,30,0.3630080395859807
1,rice,Male,30,50,0.3558715924901372
1,rice,Male,50,125,0.38060745710171656
2,rice,Female,0,5,0.2997710369536677
2,rice,Female,5,15,0.376755648099242
2,rice,Female,15,30,0.3487717882934747
2,rice,Female,30,50,0.3665897358272487
2,rice,Female,50,125,0.37288875343548034
2,rice,Male,0,5,0.30628158351448503
2,rice,Male,5,15,0.37940199893353344
2,rice,Male,15,30,0.34913054300961566
2,rice,Male,30,50,0.35345659342802205
2,rice,Male,50,125,0.3673140625103758
3,rice,Female,0,5,0.28015188867436863
3,rice,Female,5,15,0.3481707424984838
3,rice,Female,15,30,0.3094457351047111
3,rice,Female,30,50,0.33117899347949586
3,rice,Female,50,125,0.3366640438063202
3,rice,Male,0,5,0.277833032593308
3,rice,Male,5,15,0.3416836751607619
3,rice,Male,15,30,0.3071720368598569
3,rice,Male,30,50,0.3132421494361429
3,rice,Male,50,125,0.3305348786581208
4,rice,Female,0,5,0.24103838328730742
4,rice,Female,5,15,0.3009162547837174
4,rice,Female,15,30,0.2799117075343031
4,rice,Female,30,50,0.28445335565575974
4,rice,Female,50,125,0.2838465430662201
4,rice,Male,0,5,0.2409879998309372
4,rice,Male,5,15,0.3012528255255238
4,rice,Male,15,30,0.2825993881760884
4,rice,Male,30,50,0.27713819746063006
4,rice,Male,50,125,0.28144726581192464
5,rice,Female,0,5,0.13802931275525468
5,rice,Female,5,15,0.17141948626042228
5,rice,Female,15,30,0.16667911501268415
5,rice,Female,30,50,0.1517824662556655
5,rice,Female,50,125,0.14647270771787504
5,rice,Male,0,5,0.13728602984737623
5,rice,Male,5,15,0.16701745101345022
5,rice,Male,15,30,0.16564559394904743
5,rice,Male,30,50,0.1499797691192906
5,rice,Male,50,125,0.14607487833056745
