sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0,5,not_pregnant,lowest,100.84434586293476
Female,0,5,not_pregnant,second,104.9294130104181
Female,0,5,not_pregnant,middle,108.14413520709758
Female,0,5,not_pregnant,fourth,106.09268395073528
Female,0,5,not_pregnant,highest,110.22985297016967
Male,0,5,not_pregnant,lowest,99.54953585261298
Male,0,5,not_pregnant,second,105.37134057507504
Male,0,5,not_pregnant,middle,107.2099856037999
Male,0,5,not_pregnant,fourth,106.62369043297845
Male,0,5,not_pregnant,highest,108.24703036359719
Female,5,15,not_pregnant,lowest,112.8983056945765
Female,5,15,not_pregnant,second,116.61161686251366
Female,5,15,not_pregnant,middle,118.67273223540474
Female,5,15,not_pregnant,fourth,118.14286429261219
Female,5,15,not_pregnant,highest,121.10681933992949
Male,5,15,not_pregnant,lowest,112.2509006894156
Male,5,15,not_pregnant,second,116.83258064484212
Male,5,15,not_pregnant,middle,118.2056574337559
Male,5,15,not_pregnant,fourth,118.40836753373378
Male,5,15,not_pregnant,highest,120.11540803664325
Female,15,125,not_pregnant,lowest,124.95226552621824
Female,15,125,pregnant,lowest,113.49209546338841
Female,15,125,not_pregnant,second,128.2938207146092
Female,15,125,pregnant,second,116.92674134246569
Female,15,125,not_pregnant,middle,129.2013292637119
Female,15,125,pregnant,middle,118.84139497595949
Female,15,125,not_pregnant,fourth,130.1930446344891
Female,15,125,pregnant,fourth,116.35776385024464
Female,15,125,not_pregnant,highest,131.9837857096893
Female,15,125,pregnant,highest,122.54957029764098
Male,15,125,not_pregnant,lowest,124.95226552621824
Male,15,125,not_pregnant,second,128.2938207146092
Male,15,125,not_pregnant,middle,129.2013292637119
Male,15,125,not_pregnant,fourth,130.1930446344891
Male,15,125,not_pregnant,highest,131.9837857096893
