sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0,5,not_pregnant,1,103.65556129832099
Female,0,5,not_pregnant,2,105.25798634040117
Female,0,5,not_pregnant,3,105.39753019130531
Female,0,5,not_pregnant,4,106.76533571382281
Female,0,5,not_pregnant,5,107.98901719979038
Male,0,5,not_pregnant,1,104.01204766932935
Male,0,5,not_pregnant,2,105.1632929332804
Male,0,5,not_pregnant,3,105.23093835105472
Male,0,5,not_pregnant,4,106.56168602776674
Male,0,5,not_pregnant,5,107.25902744054883
Female,5,15,not_pregnant,1,109.33909793742716
Female,5,15,not_pregnant,2,110.68309676887483
Female,5,15,not_pregnant,3,110.943253921653
Female,5,15,not_pregnant,4,112.03803806491666
Female,5,15,not_pregnant,5,113.19583331522396
Male,5,15,not_pregnant,1,109.51734112293133
Male,5,15,not_pregnant,2,110.63575006531445
Male,5,15,not_pregnant,3,110.8599580015277
Male,5,15,not_pregnant,4,111.93621322188864
Male,5,15,not_pregnant,5,112.8308384356032
Female,15,125,not_pregnant,1,115.02263457653332
Female,15,125,pregnant,1,106.02912615178906
Female,15,125,not_pregnant,2,116.1082071973485
Female,15,125,pregnant,2,107.16707166744214
Female,15,125,not_pregnant,3,116.4889776520007
Female,15,125,pregnant,3,108.45530290148938
Female,15,125,not_pregnant,4,117.31074041601052
Female,15,125,pregnant,4,110.079441825237
Female,15,125,not_pregnant,5,118.40264943065755
Female,15,125,pregnant,5,113.1562791384228
Male,15,125,not_pregnant,1,115.02263457653332
Male,15,125,not_pregnant,2,116.1082071973485
Male,15,125,not_pregnant,3,116.4889776520007
Male,15,125,not_pregnant,4,117.31074041601052
Male,15,125,not_pregnant,5,118.40264943065755
