sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0.0,5.0,lowest,rice,0.2947497219505148
Female,0.0,5.0,second,rice,0.2987306258639212
Female,0.0,5.0,middle,rice,0.27897641597698036
Female,0.0,5.0,fourth,rice,0.23927084775680477
Female,0.0,5.0,highest,rice,0.13735470367953784
Female,5.0,15.0,lowest,rice,0.38492318301226697
Female,5.0,15.0,second,rice,0.3724369130066323
Female,5.0,15.0,middle,rice,0.34412049334219674
Female,5.0,15.0,fourth,rice,0.29822320922218876
Female,5.0,15.0,highest,rice,0.17011692716449506
Female,15.0,30.0,lowest,rice,0.3401179170826516
Female,15.0,30.0,second,rice,0.3477145502028144
Female,15.0,30.0,middle,rice,0.3081902656130757
Female,15.0,30.0,fourth,rice,0.2787785840934642
Female,15.0,30.0,highest,rice,0.16602582943705113
Female,30.0,50.0,lowest,rice,0.3677244043515394
Female,30.0,50.0,second,rice,0.3653846434246937
Female,30.0,50.0,middle,rice,0.3297470981157826
Female,30.0,50.0,fourth,rice,0.28299613006806984
Female,30.0,50.0,highest,rice,0.15107557104502833
Female,50.0,100.0,lowest,rice,0.38476557886745355
Female,50.0,100.0,second,rice,0.37140262145373854
Female,50.0,100.0,middle,rice,0.33534190790158525
Female,50.0,100.0,fourth,rice,0.28280211643684366
Female,50.0,100.0,highest,rice,0.14585318815463758
Male,0.0,5.0,lowest,rice,0.3011245608693517
Male,0.0,5.0,second,rice,0.3049582512621001
Male,0.0,5.0,middle,rice,0.276643007609199
Male,0.0,5.0,fourth,rice,0.23958984400433422
Male,0.0,5.0,highest,rice,0.13638794204584745
Male,5.0,15.0,lowest,rice,0.3880704517960822
Male,5.0,15.0,second,rice,0.37582611670092547
Male,5.0,15.0,middle,rice,0.3376509959727327
Male,5.0,15.0,fourth,rice,0.29846624059147364
Male,5.0,15.0,highest,rice,0.16581606275635818
Male,15.0,30.0,lowest,rice,0.3615871016093222
Male,15.0,30.0,second,rice,0.34771037377334796
Male,15.0,30.0,middle,rice,0.30530290671064453
Male,15.0,30.0,fourth,rice,0.2810296161212587
Male,15.0,30.0,highest,rice,0.16443686553169096
Male,30.0,50.0,lowest,rice,0.3543246743779176
Male,30.0,50.0,second,rice,0.3516642158123789
Male,30.0,50.0,middle,rice,0.31127044502803225
Male,30.0,50.0,fourth,rice,0.27520448273555576
Male,30.0,50.0,highest,rice,0.14883752904370953
Male,50.0,100.0,lowest,rice,0.379384177809121
Male,50.0,100.0,second,rice,0.36598440662283677
Male,50.0,100.0,middle,rice,0.3289892916848644
Male,50.0,100.0,fourth,rice,0.2801284002495513
Male,50.0,100.0,highest,rice,0.14541715031917463
