sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0.0,5.0,lowest,rice,0.48040619921255195
Female,0.0,5.0,second,rice,0.4896257609430625
Female,0.0,5.0,middle,rice,0.4852562162908467
Female,0.0,5.0,fourth,rice,0.46510326925953455
Female,0.0,5.0,highest,rice,0.41478781684970056
Female,5.0,15.0,lowest,rice,0.5180839798737386
Female,5.0,15.0,second,rice,0.5161941907409288
Female,5.0,15.0,middle,rice,0.5037331462494283
Female,5.0,15.0,fourth,rice,0.48068317413510675
Female,5.0,15.0,highest,rice,0.4223283605423944
Female,15.0,30.0,lowest,rice,0.4900013987318219
Female,15.0,30.0,second,rice,0.5012409264143216
Female,15.0,30.0,middle,rice,0.4872804572822199
Female,15.0,30.0,fourth,rice,0.4694861645326902
Female,15.0,30.0,highest,rice,0.419791227482122
Female,30.0,50.0,lowest,rice,0.5038972695995992
Female,30.0,50.0,second,rice,0.5075504219307992
Female,30.0,50.0,middle,rice,0.49401567343158814
Female,30.0,50.0,fourth,rice,0.4714605117058288
Female,30.0,50.0,highest,rice,0.41269814175239494
Female,50.0,100.0,lowest,rice,0.5128452670233834
Female,50.0,100.0,second,rice,0.5117239819673856
Female,50.0,100.0,middle,rice,0.4962229790809845
Female,50.0,100.0,fourth,rice,0.4700771764291243
Female,50.0,100.0,highest,rice,0.4093198639811493
Male,0.0,5.0,lowest,rice,0.48383895241112107
Male,0.0,5.0,second,rice,0.49460824332377806
Male,0.0,5.0,middle,rice,0.4819463997518823
Male,0.0,5.0,fourth,rice,0.4656321795572093
Male,0.0,5.0,highest,rice,0.41338870800396343
Male,5.0,15.0,lowest,rice,0.5191111011145761
Male,5.0,15.0,second,rice,0.5168487011536367
Male,5.0,15.0,middle,rice,0.5007678434397446
Male,5.0,15.0,fourth,rice,0.48082719076209224
Male,5.0,15.0,highest,rice,0.41976601996175467
Male,15.0,30.0,lowest,rice,0.5016158702896694
Male,15.0,30.0,second,rice,0.5021318160580205
Male,15.0,30.0,middle,rice,0.4860717416873209
Male,15.0,30.0,fourth,rice,0.47122232997720304
Male,15.0,30.0,highest,rice,0.41845001284326716
Male,30.0,50.0,lowest,rice,0.4973432840087858
Male,30.0,50.0,second,rice,0.5016601011802656
Male,30.0,50.0,middle,rice,0.4856138595480987
Male,30.0,50.0,fourth,rice,0.4686655739806156
Male,30.0,50.0,highest,rice,0.411956635103212
Male,50.0,100.0,lowest,rice,0.508877033315717
Male,50.0,100.0,second,rice,0.5069399950559439
Male,50.0,100.0,middle,rice,0.4921982476157978
Male,50.0,100.0,fourth,rice,0.4680243599290374
Male,50.0,100.0,highest,rice,0.40895484591563136
