wealth_quintile,vehicle_name,sex,age_start,age_end,value
1,rice,Female,0,5,0.2947497219505148
1,rice,Female,5,15,0.384923183012267
1,rice,Female,15,30,0.3401179170826516
1,rice,Female,30,50,0.3677244043515394
1,rice,Female,50,125,0.38470067909453043
1,rice,Male,0,5,0.3011245608693517
1,rice,Male,5,15,0.3880704517960822
1,rice,Male,15,30,0.36158710160932234
1,rice,Male,30,50,0.3543246743779176
1,rice,Male,50,125,0.3794049581712056
2,rice,Female,0,5,0.2987306258639212
2,rice,Female,5,15,0.3724369130066323
2,rice,Female,15,30,0.3477145502028144
2,rice,Female,30,50,0.3653846434246937
2,rice,Female,50,125,0.37143021339166976
2,rice,Male,0,5,0.3049582512621
2,rice,Male,5,15,0.37582611670092547
2,rice,Male,15,30,0.34771037377334796
2,rice,Male,30,50,0.35166421581237883
2,rice,Male,50,125,0.3660064491625922
3,rice,Female,0,5,0.27897641597698036
3,rice,Female,5,15,0.34412049334219674
3,rice,Female,15,30,0.3081902656130757
3,rice,Female,30,50,0.32974709811578257
3,rice,Female,50,125,0.3352752537168752
3,rice,Male,0,5,0.27664300760919897
3,rice,Male,5,15,0.3376509959727326
3,rice,Male,15,30,0.30530290671064453
3,rice,Male,30,50,0.3112704450280323
3,rice,Male,50,125,0.32893101775543326
4,rice,Female,0,5,0.23927084775680477
4,rice,Female,5,15,0.29822320922218876
4,rice,Female,15,30,0.2787785840934642
4,rice,Female,30,50,0.28299613006806984
4,rice,Female,50,125,0.2827333191867551
4,rice,Male,0,5,0.2395898440043343
4,rice,Male,5,15,0.29846624059147364
4,rice,Male,15,30,0.2810296161212587
4,rice,Male,30,50,0.27520448273555576
4,rice,Male,50,125,0.28009774813367233
5,rice,Female,0,5,0.13735470367953784
5,rice,Female,5,15,0.17011692716449506
5,rice,Female,15,30,0.16602582943705113
5,rice,Female,30,50,0.15107557104502833
5,rice,Female,50,125,0.1458499294236465
5,rice,Male,0,5,0.13638794204584742
5,rice,Male,5,15,0.16581606275635818
5,rice,Male,15,30,0.16443686553169096
5,rice,Male,30,50,0.14883752904370953
5,rice,Male,50,125,0.1454016647466657
