sex,age_start,age_end,pregnant,wealth_quintile,value
Female,0.0,0.01917808,not_pregnant,lowest,16960.496218822307
Female,0.0,0.01917808,not_pregnant,second,16890.884667701805
Female,0.0,0.01917808,not_pregnant,middle,15946.960379050375
Female,0.0,0.01917808,not_pregnant,fourth,14017.956070644175
Female,0.0,0.01917808,not_pregnant,highest,13029.810173999236
Female,0.01917808,0.07671233,not_pregnant,lowest,50056.696432738245
Female,0.01917808,0.07671233,not_pregnant,second,49851.24700262169
Female,0.01917808,0.07671233,not_pregnant,middle,47065.377358072226
Female,0.01917808,0.07671233,not_pregnant,fourth,41372.17228685656
Female,0.01917808,0.07671233,not_pregnant,highest,38455.788323708206
Female,0.07671233,0.5,not_pregnant,lowest,364834.49722948566
Female,0.07671233,0.5,not_pregnant,second,363337.0943866237
Female,0.07671233,0.5,not_pregnant,middle,343032.4913355252
Female,0.07671233,0.5,not_pregnant,fourth,301537.99094290903
Female,0.07671233,0.5,not_pregnant,highest,280282.1440183508
Female,0.5,1.0,not_pregnant,lowest,420356.9536176365
Female,0.5,1.0,not_pregnant,second,418631.66803706845
Female,0.5,1.0,not_pregnant,middle,395237.00237965287
Female,0.5,1.0,not_pregnant,fourth,347427.6479754437
Female,0.5,1.0,not_pregnant,highest,322936.9730869069
Female,1.0,2.0,not_pregnant,lowest,824615.0537725731
Female,1.0,2.0,not_pregnant,second,821230.5576923982
Female,1.0,2.0,not_pregnant,middle,775337.1965547849
Female,1.0,2.0,not_pregnant,fourth,681549.4930005339
Female,1.0,2.0,not_pregnant,highest,633506.0884217971
Female,2.0,5.0,not_pregnant,lowest,2382810.8396809073
Female,2.0,5.0,not_pregnant,second,2373030.9867546195
Female,2.0,5.0,not_pregnant,middle,2240417.353414068
Female,2.0,5.0,not_pregnant,fourth,1969408.043511894
Female,2.0,5.0,not_pregnant,highest,1830581.6363517817
Female,5.0,10.0,not_pregnant,lowest,3774207.2228284692
Female,5.0,10.0,not_pregnant,second,3577976.8653285746
Female,5.0,10.0,not_pregnant,middle,3402337.86275908
Female,5.0,10.0,not_pregnant,fourth,3215280.6520657134
Female,5.0,10.0,not_pregnant,highest,2962236.9276670367
Female,10.0,15.0,not_pregnant,lowest,3506109.110795046
Female,10.0,15.0,not_pregnant,second,3323817.8364623813
Female,10.0,15.0,not_pregnant,middle,3160655.2248826283
Female,10.0,15.0,not_pregnant,fourth,2986885.489430631
Female,10.0,15.0,not_pregnant,highest,2751816.5451030787
Female,15.0,20.0,not_pregnant,lowest,2116979.0391562697
Female,15.0,20.0,not_pregnant,second,2494389.682576848
Female,15.0,20.0,not_pregnant,middle,2567348.930896313
Female,15.0,20.0,not_pregnant,fourth,2865161.7382348767
Female,15.0,20.0,not_pregnant,highest,2767061.5105253933
Female,15.0,20.0,pregnant,lowest,226972.47338348159
Female,15.0,20.0,pregnant,second,266045.31543235783
Female,15.0,20.0,pregnant,middle,215822.12985567242
Female,15.0,20.0,pregnant,fourth,167262.45324596151
Female,15.0,20.0,pregnant,highest,112592.697490313
Female,20.0,25.0,not_pregnant,lowest,1524428.231739928
Female,20.0,25.0,not_pregnant,second,1796200.1431041346
Female,20.0,25.0,not_pregnant,middle,1848737.8092064136
Female,20.0,25.0,not_pregnant,fourth,2063191.633681488
Female,20.0,25.0,not_pregnant,highest,1992550.0477732713
Female,20.0,25.0,pregnant,lowest,472117.01101049146
Female,20.0,25.0,pregnant,second,553390.9783987458
Female,20.0,25.0,pregnant,middle,448923.59561692
Female,20.0,25.0,pregnant,fourth,347916.41604638944
Female,20.0,25.0,pregnant,highest,234199.88780279842
Female,25.0,30.0,not_pregnant,lowest,1228436.8594891878
Female,25.0,30.0,not_pregnant,second,1447440.0413658249
Female,25.0,30.0,not_pregnant,middle,1489776.7051770904
Female,25.0,30.0,not_pregnant,fourth,1662590.9952554903
Female,25.0,30.0,not_pregnant,highest,1605665.5683081164
Female,25.0,30.0,pregnant,lowest,425460.03443899384
Female,25.0,30.0,pregnant,second,498702.09976934455
Female,25.0,30.0,pregnant,middle,404558.7089582911
Female,25.0,30.0,pregnant,fourth,313533.56668120297
Female,25.0,30.0,pregnant,highest,211055.0774625082
Female,30.0,35.0,not_pregnant,lowest,1020616.2925598478
Female,30.0,35.0,not_pregnant,second,1073876.80712403
Female,30.0,35.0,not_pregnant,middle,1148346.2074705372
Female,30.0,35.0,not_pregnant,fourth,1308409.1812532612
Female,30.0,35.0,not_pregnant,highest,1545118.7285724059
Female,30.0,35.0,pregnant,lowest,340787.6555707054
Female,30.0,35.0,pregnant,second,270889.6060031212
Female,30.0,35.0,pregnant,middle,250215.00568363725
Female,30.0,35.0,pregnant,fourth,225125.2650474027
Female,30.0,35.0,pregnant,highest,287680.8256492291
Female,35.0,40.0,not_pregnant,lowest,906926.6134801394
Female,35.0,40.0,not_pregnant,second,954254.2707574418
Female,35.0,40.0,not_pregnant,middle,1020428.2889036335
Female,35.0,40.0,not_pregnant,fourth,1162661.3414372467
Female,35.0,40.0,not_pregnant,highest,1373003.0630945857
Female,35.0,40.0,pregnant,lowest,190378.1082265559
Female,35.0,40.0,pregnant,second,151330.16083797504
Female,35.0,40.0,pregnant,middle,139780.4722479584
Female,35.0,40.0,pregnant,fourth,125764.30329306425
Female,35.0,40.0,pregnant,highest,160710.43203849503
Female,40.0,45.0,not_pregnant,lowest,796555.6393790552
Female,40.0,45.0,not_pregnant,second,838123.6248615541
Female,40.0,45.0,not_pregnant,middle,896244.4105472367
Female,40.0,45.0,not_pregnant,fourth,1021168.0134250874
Female,40.0,45.0,not_pregnant,highest,1205911.610197399
Female,40.0,45.0,pregnant,lowest,82617.61648266375
Female,40.0,45.0,pregnant,second,65672.13692182103
Female,40.0,45.0,pregnant,middle,60659.96534751032
Female,40.0,45.0,pregnant,fourth,54577.425279964176
Female,40.0,45.0,pregnant,highest,69742.85521904085
Female,45.0,50.0,not_pregnant,lowest,698854.8235384453
Female,45.0,50.0,not_pregnant,second,735324.3251314113
Female,45.0,50.0,not_pregnant,middle,786316.3580996878
Female,45.0,50.0,not_pregnant,fourth,895917.5687734877
Female,45.0,50.0,not_pregnant,highest,1058001.6057690913
Female,45.0,50.0,pregnant,lowest,32292.450725422466
Female,45.0,50.0,pregnant,second,25669.032052336053
Female,45.0,50.0,pregnant,middle,23709.942568984094
Female,45.0,50.0,pregnant,fourth,21332.48200089983
Female,45.0,50.0,pregnant,highest,27260.13907801054
Female,50.0,55.0,not_pregnant,lowest,716730.6830490052
Female,50.0,55.0,not_pregnant,second,675882.2752252672
Female,50.0,55.0,not_pregnant,middle,836654.6765861805
Female,50.0,55.0,not_pregnant,fourth,705387.3706275311
Female,50.0,55.0,not_pregnant,highest,720691.9146356748
Female,55.0,60.0,not_pregnant,lowest,568484.8299104465
