sex,age_start,age_end,value
Female,0.0,0.01917808,0.0
Female,0.01917808,0.07671233,0.0
Female,0.07671233,0.5,0.0
Female,0.5,1.0,0.0
Female,1.0,2.0,0.0
Female,2.0,5.0,0.0
Female,5.0,10.0,0.0
Female,10.0,15.0,0.0026358003500256705
Female,15.0,20.0,0.07164646020373602
Female,20.0,25.0,0.18229131730746198
Female,25.0,30.0,0.19955482434747893
Female,30.0,35.0,0.1840029838000996
Female,35.0,40.0,0.12416071848176535
Female,40.0,45.0,0.06545906687116701
Female,45.0,50.0,0.030261037969286544
Female,50.0,55.0,0.003216033355554137
Female,55.0,60.0,0.0
Female,60.0,65.0,0.0
Female,65.0,70.0,0.0
Female,70.0,75.0,0.0
Female,75.0,80.0,0.0
Female,80.0,85.0,0.0
Female,85.0,90.0,0.0
Female,90.0,95.0,0.0
Female,95.0,125.0,0.0
Male,0.0,0.01917808,0.0
Male,0.01917808,0.07671233,0.0
Male,0.07671233,0.5,0.0
Male,0.5,1.0,0.0
Male,1.0,2.0,0.0
Male,2.0,5.0,0.0
Male,5.0,10.0,0.0
Male,10.0,15.0,0.0
Male,15.0,20.0,0.0
Male,20.0,25.0,0.0
Male,25.0,30.0,0.0
Male,30.0,35.0,0.0
Male,35.0,40.0,0.0
Male,40.0,45.0,0.0
Male,45.0,50.0,0.0
Male,50.0,55.0,0.0
Male,55.0,60.0,0.0
Male,60.0,65.0,0.0
Male,65.0,70.0,0.0
Male,70.0,75.0,0.0
Male,75.0,80.0,0.0
Male,80.0,85.0,0.0
Male,85.0,90.0,0.0
Male,90.0,95.0,0.0
Male,95.0,125.0,0.0
