sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,lowest,185.5596313880349,rice
Female,0,5,second,147.53139372161763,rice
Female,0,5,middle,129.13030217396457,rice
Female,0,5,fourth,127.80985627664745,rice
Female,0,5,highest,102.81507795468151,rice
Female,5,15,lowest,215.16336822218906,rice
Female,5,15,second,169.66178899228515,rice
Female,5,15,middle,157.82690635436737,rice
Female,5,15,fourth,156.3084811537593,rice
Female,5,15,highest,121.85513365398171,rice
Female,15,30,lowest,206.65825003312887,rice
Female,15,30,second,168.71234723585337,rice
Female,15,30,middle,153.0348774429354,rice
Female,15,30,fourth,154.40393299366434,rice
Female,15,30,highest,126.16561451294292,rice
Female,30,50,lowest,216.7696698731483,rice
Female,30,50,second,180.2270072623658,rice
Female,30,50,middle,171.53239321159612,rice
Female,30,50,fourth,170.11347915105696,rice
Female,30,50,highest,128.31536826198558,rice
Female,50,125,lowest,219.52679589438205,rice
Female,50,125,second,185.85964228904498,rice
Female,50,125,middle,178.7231649440047,rice
Female,50,125,fourth,168.91852073987454,rice
Female,50,125,highest,130.4167478004903,rice
Male,0,5,lowest,185.27881903584486,rice
Male,0,5,second,146.51613767458784,rice
Male,0,5,middle,129.44636268275832,rice
Male,0,5,fourth,124.81832067320076,rice
Male,0,5,highest,100.67865135815524,rice
Male,5,15,lowest,216.8931959132659,rice
Male,5,15,second,172.80444258368286,rice
Male,5,15,middle,159.3881251698264,rice
Male,5,15,fourth,154.55035484200093,rice
Male,5,15,highest,121.92335554779584,rice
Male,15,30,lowest,213.7449002244373,rice
Male,15,30,second,172.09240389337114,rice
Male,15,30,middle,155.92978429010074,rice
Male,15,30,fourth,158.94027831371153,rice
Male,15,30,highest,125.21019764439316,rice
Male,30,50,lowest,213.007652430272,rice
Male,30,50,second,175.75917743135784,rice
Male,30,50,middle,164.2403330529188,rice
Male,30,50,fourth,164.06350639302872,rice
Male,30,50,highest,125.75508219126957,rice
Male,50,125,lowest,221.9953738202113,rice
Male,50,125,second,185.1902345655139,rice
Male,50,125,middle,176.08766037086292,rice
Male,50,125,fourth,170.70863666470913,rice
Male,50,125,highest,133.13734198071575,rice
