sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,rice,10.665035294117649
Female,0,5,2,rice,21.78744052287582
Female,0,5,3,rice,30.759427450980397
Female,0,5,4,rice,43.2980274509804
Female,0,5,5,rice,49.87819607843137
Male,0,5,1,rice,12.317364705882353
Male,0,5,2,rice,25.162959477124183
Male,0,5,3,rice,35.52497254901961
Male,0,5,4,rice,50.00617254901961
Male,0,5,5,rice,57.60580392156863
Female,5,15,1,rice,11.078117647058825
Female,5,15,2,rice,22.63132026143791
Female,5,15,3,rice,31.9508137254902
Female,5,15,4,rice,44.9750637254902
Female,5,15,5,rice,51.81009803921569
Male,5,15,1,rice,12.794445733222865
Male,5,15,2,rice,26.137581147012796
Male,5,15,3,rice,36.90093979563656
Male,5,15,4,rice,51.943031344932336
Male,5,15,5,rice,59.83701463684065
Female,15,125,1,rice,11.491200000000001
Female,15,125,2,rice,23.4752
Female,15,125,3,rice,33.1422
Female,15,125,4,rice,46.652100000000004
Female,15,125,5,rice,53.742000000000004
Male,15,125,1,rice,13.271526760563379
Male,15,125,2,rice,27.112202816901405
Male,15,125,3,rice,38.27690704225352
Male,15,125,4,rice,53.87989014084506
Male,15,125,5,rice,62.06822535211267
