wealth_quintile,entity,scenario,value
1,ntd,zero,158329.249033399
2,ntd,zero,150607.33102761133
3,ntd,zero,137079.00956010728
4,ntd,zero,120797.13593550064
5,ntd,zero,95296.84856755055
1,ntd,baseline,158016.36350616178
2,ntd,baseline,150309.70532381968
3,ntd,baseline,136808.11812064672
4,ntd,baseline,120558.42024780132
5,ntd,baseline,95108.52578518318
1,ntd,intervention_25_nrv,86895.81623974051
2,ntd,intervention_25_nrv,86091.32547034796
3,ntd,intervention_25_nrv,73303.92722282806
4,ntd,intervention_25_nrv,91938.95925992186
5,ntd,intervention_25_nrv,77438.85065419968
1,ntd,intervention_100_nrv,29389.529323367726
2,ntd,intervention_100_nrv,30503.953940161733
3,ntd,intervention_100_nrv,24096.42697655871
4,ntd,intervention_100_nrv,49169.626623117474
5,ntd,intervention_100_nrv,46803.964261309164
