wealth_quintile,entity,scenario,value
1,ntd,zero,397341.1120525218
2,ntd,zero,347011.08902834717
3,ntd,zero,308563.0389483282
4,ntd,zero,288866.78736531787
5,ntd,zero,239848.52037595856
1,ntd,baseline,368777.9317350958
2,ntd,baseline,325776.8159126353
3,ntd,baseline,292471.0148857868
4,ntd,baseline,275785.75350855873
5,ntd,baseline,234875.14948782226
1,ntd,intervention,208545.54261345183
2,ntd,intervention,198697.66311678782
3,ntd,intervention,190622.43711826546
4,ntd,intervention,189344.58139605986
5,ntd,intervention,196706.3231923595
