wealth_quintile,entity,scenario,value
1,ntd,zero,7595.550633139525
2,ntd,zero,7766.92327449926
3,ntd,zero,7031.2027969376395
4,ntd,zero,6232.448704163242
5,ntd,zero,5474.075521134529
1,ntd,baseline,7595.550633139525
2,ntd,baseline,7766.92327449926
3,ntd,baseline,7031.2027969376395
4,ntd,baseline,6232.448704163242
5,ntd,baseline,5474.075521134529
1,ntd,intervention,2666.4674932991893
2,ntd,intervention,2903.168529273472
3,ntd,intervention,3222.2048843408884
4,ntd,intervention,3225.302290368686
5,ntd,intervention,2975.1864656836274
