wealth_quintile,entity,scenario,value
1,ntd,zero,413605.24900857866
2,ntd,zero,422937.1101765626
3,ntd,zero,382874.4648174589
4,ntd,zero,339379.4107528897
5,ntd,zero,298083.24351525935
1,ntd,baseline,413605.24900857866
2,ntd,baseline,422937.1101765626
3,ntd,baseline,382874.4648174589
4,ntd,baseline,339379.4107528897
5,ntd,baseline,298083.24351525935
1,ntd,intervention,396294.79701726226
2,ntd,intervention,389484.90960164
3,ntd,intervention,341019.57241724135
4,ntd,intervention,290287.99387017917
5,ntd,intervention,250303.7731543361
