scenario,entity,wealth_quintile,value
baseline,anemia,fourth,0.0
baseline,anemia,highest,0.0
baseline,anemia,lowest,0.0
baseline,anemia,middle,0.0
baseline,anemia,second,0.0
baseline,lbwsg,fourth,0.0
baseline,lbwsg,highest,0.0
baseline,lbwsg,lowest,0.0
baseline,lbwsg,middle,0.0
baseline,lbwsg,second,0.0
baseline,maternal_disorders,fourth,0.0
baseline,maternal_disorders,highest,0.0
baseline,maternal_disorders,lowest,0.0
baseline,maternal_disorders,middle,0.0
baseline,maternal_disorders,second,0.0
baseline,ntd,fourth,120558.42024780132
baseline,ntd,highest,95108.52578518318
baseline,ntd,lowest,158016.36350616178
baseline,ntd,middle,136808.11812064672
baseline,ntd,second,150309.70532381968
intervention_25_nrv,anemia,fourth,0.0
intervention_25_nrv,anemia,highest,0.0
intervention_25_nrv,anemia,lowest,0.0
intervention_25_nrv,anemia,middle,0.0
intervention_25_nrv,anemia,second,0.0
intervention_25_nrv,lbwsg,fourth,0.0
intervention_25_nrv,lbwsg,highest,0.0
intervention_25_nrv,lbwsg,lowest,0.0
intervention_25_nrv,lbwsg,middle,0.0
intervention_25_nrv,lbwsg,second,0.0
intervention_25_nrv,maternal_disorders,fourth,0.0
intervention_25_nrv,maternal_disorders,highest,0.0
intervention_25_nrv,maternal_disorders,lowest,0.0
intervention_25_nrv,maternal_disorders,middle,0.0
intervention_25_nrv,maternal_disorders,second,0.0
intervention_25_nrv,ntd,fourth,94573.78050084108
intervention_25_nrv,ntd,highest,79149.08159773264
intervention_25_nrv,ntd,lowest,92003.6507421458
intervention_25_nrv,ntd,middle,77774.62130996001
intervention_25_nrv,ntd,second,90849.53121665592
