scenario,wealth_quintile,value
zero,1,1760.0344503016331
zero,2,1674.195341005259
zero,3,1523.810544873626
zero,4,1342.8164539541383
zero,5,1059.3477674405294
baseline,1,1756.5563228532924
baseline,2,1670.8868462377632
baseline,3,1520.7992360431151
baseline,4,1340.1628202336271
baseline,5,1057.2543160614143
intervention_25_nrv,1,944.214187602946
intervention_25_nrv,2,849.9783005118081
intervention_25_nrv,3,699.1640982782624
intervention_25_nrv,4,967.3526663099254
intervention_25_nrv,5,843.5877601434071
intervention_100_nrv,1,311.4597317942641
intervention_100_nrv,2,264.63495010497184
intervention_100_nrv,3,197.60060632866097
intervention_100_nrv,4,471.3805432715009
intervention_100_nrv,5,490.2317004551646
