scenario,entity,wealth_quintile,value
baseline,anemia,1,991820.5054212256
baseline,anemia,2,847529.3917044748
baseline,anemia,3,721620.8038129823
baseline,anemia,4,656236.0029629353
baseline,anemia,5,465228.5123766713
baseline,lbwsg,1,18248150.900694095
baseline,lbwsg,2,18442648.959674995
baseline,lbwsg,3,15355961.97556525
baseline,lbwsg,4,12320893.910346331
baseline,lbwsg,5,10752450.40482439
baseline,maternal_disorders,1,476048.18802351324
baseline,maternal_disorders,2,476563.93826290045
baseline,maternal_disorders,3,391526.6582641886
baseline,maternal_disorders,4,305897.7151284149
baseline,maternal_disorders,5,286137.25715609343
baseline,ntd,1,428092.4408213336
baseline,ntd,2,437751.16549754096
baseline,ntd,3,396285.2612841676
baseline,ntd,4,351266.7227071316
baseline,ntd,5,308524.0905193169
intervention,anemia,1,830473.8007872311
intervention,anemia,2,696721.3686269716
intervention,anemia,3,585147.334679034
intervention,anemia,4,526782.2132568085
intervention,anemia,5,363412.4239482399
intervention,lbwsg,1,18173189.780019037
intervention,lbwsg,2,18380809.850169986
intervention,lbwsg,3,15320433.74061952
intervention,lbwsg,4,12298750.138194045
intervention,lbwsg,5,10737830.860910214
intervention,maternal_disorders,1,461744.7254106215
intervention,maternal_disorders,2,458840.9704327216
intervention,maternal_disorders,3,378554.4076621916
intervention,maternal_disorders,4,296958.7468708669
intervention,maternal_disorders,5,278712.3707264478
intervention,ntd,1,150610.9980257344
intervention,ntd,2,163980.6638294242
intervention,ntd,3,182000.9037025697
intervention,ntd,4,182175.8555496516
intervention,ntd,5,168048.47763392216
zero,anemia,1,991820.5054212256
zero,anemia,2,847529.3917044748
zero,anemia,3,721620.8038129823
zero,anemia,4,656236.0029629353
zero,anemia,5,465228.5123766713
zero,lbwsg,1,18248150.900694095
zero,lbwsg,2,18442648.959674995
zero,lbwsg,3,15355961.97556525
zero,lbwsg,4,12320893.910346331
zero,lbwsg,5,10752450.40482439
zero,maternal_disorders,1,476048.18802351324
zero,maternal_disorders,2,476563.93826290045
zero,maternal_disorders,3,391526.6582641886
zero,maternal_disorders,4,305897.7151284149
zero,maternal_disorders,5,286137.25715609343
zero,ntd,1,429022.09169507545
zero,ntd,2,438701.7913780297
zero,ntd,3,397145.83929086407
zero,ntd,4,352029.5378950256
zero,ntd,5,309194.08527505567
