scenario,entity,wealth_quintile,value
baseline,anemia,1,991820.5054212256
baseline,anemia,2,847529.3917044748
baseline,anemia,3,721620.8038129823
baseline,anemia,4,656236.0029629353
baseline,anemia,5,465228.5123766713
baseline,lbwsg,1,18248150.900694095
baseline,lbwsg,2,18442648.959674995
baseline,lbwsg,3,15355961.97556525
baseline,lbwsg,4,12320893.910346331
baseline,lbwsg,5,10752450.40482439
baseline,maternal_disorders,1,476048.18802351324
baseline,maternal_disorders,2,476563.93826290045
baseline,maternal_disorders,3,391526.6582641886
baseline,maternal_disorders,4,305897.7151284149
baseline,maternal_disorders,5,286137.25715609343
baseline,ntd,1,428092.4408213336
baseline,ntd,2,437751.16549754096
baseline,ntd,3,396285.2612841676
baseline,ntd,4,351266.7227071316
baseline,ntd,5,308524.0905193169
intervention,anemia,1,978546.2414324639
intervention,anemia,2,831595.1482713778
intervention,anemia,3,704030.2186398543
intervention,anemia,4,636661.0482528962
intervention,anemia,5,448632.04840530903
intervention,lbwsg,1,18247097.33766912
intervention,lbwsg,2,18440940.62282739
intervention,lbwsg,3,15354148.387808241
intervention,lbwsg,4,12320132.75102567
intervention,lbwsg,5,10750069.497458389
intervention,maternal_disorders,1,476048.1875834712
intervention,maternal_disorders,2,476563.93552804785
intervention,maternal_disorders,3,391526.6573841392
intervention,maternal_disorders,4,305818.94820953073
intervention,maternal_disorders,5,286137.2568579978
intervention,ntd,1,411066.40486735
intervention,ntd,2,404002.6837219778
intervention,ntd,3,353730.83542363567
intervention,ntd,4,301108.27322108863
intervention,ntd,5,259633.66900021044
zero,anemia,1,991820.5054212256
zero,anemia,2,847529.3917044748
zero,anemia,3,721620.8038129823
zero,anemia,4,656236.0029629353
zero,anemia,5,465228.5123766713
zero,lbwsg,1,18248150.900694095
zero,lbwsg,2,18442648.959674995
zero,lbwsg,3,15355961.97556525
zero,lbwsg,4,12320893.910346331
zero,lbwsg,5,10752450.40482439
zero,maternal_disorders,1,476048.18802351324
zero,maternal_disorders,2,476563.93826290045
zero,maternal_disorders,3,391526.6582641886
zero,maternal_disorders,4,305897.7151284149
zero,maternal_disorders,5,286137.25715609343
zero,ntd,1,429022.09169507545
zero,ntd,2,438701.7913780297
zero,ntd,3,397145.83929086407
zero,ntd,4,352029.5378950256
zero,ntd,5,309194.08527505567
